Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
11 - 3,103,Jordan Mason,RB,Sacks in the City,126.38,7.43,112.5,7.5,15,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},73.1,C
8 - 4,74,Rome Odunze,WR,Jockstrap jubilee ,181.31,10.67,124.1,10.34,12,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},72.86,C-
8 - 1,71,Rashee Rice,WR,Mhoney Hurts So Good,131.65,11.97,123.6,15.45,8,{5918A112-DDF9-4368-8414-A143EC58B846},72.78,C-
13 - 4,124,Josh Downs,WR,Big Ballsy Bozos,141.75,8.34,99.8,6.65,15,{9B611343-247D-458B-88C3-50BB33789365},72.74,C-
10 - 9,99,J.K. Dobbins,RB,Hunks of Hanet ,152.37,8.96,110.4,11.04,10,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},72.7,C-
1 - 3,3,CeeDee Lamb,WR,Sacks in the City,258.55,15.21,162.5,12.5,13,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},72.57,C-
1 - 8,8,Ashton Jeanty,RB,Case Closed ,270.68,15.92,206.7,12.92,16,{1EC10606-80E9-4A6D-A618-E448864CAA58},72.51,C-
14 - 4,134,Steelers D/ST,D/ST,Jockstrap jubilee ,132.67,7.8,109.0,6.81,16,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},72.3,C-
3 - 2,22,Ladd McConkey,WR,Hunks of Hanet ,197.15,11.6,147.9,9.24,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},72.26,C-
16 - 8,158,C.J. Stroud,QB,Sacks in the City,280.36,16.49,191.28,14.71,13,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},72.16,C-
16 - 10,160,Matt Gay,K,Chicken’s Cougars ,140.08,8.24,85.0,7.08,12,{E25AE41B-82C0-4A03-A531-4082EAFA9887},71.75,C-
12 - 4,114,Colston Loveland,TE,Jockstrap jubilee ,124.94,7.35,116.0,7.73,15,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},71.31,C-
16 - 4,154,Nick Chubb,RB,Jockstrap jubilee ,113.6,6.68,81.8,5.45,15,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},71.16,C-
13 - 1,121,Tyjae Spears,RB,Chicken’s Cougars ,103.95,8.0,83.0,6.92,12,{E25AE41B-82C0-4A03-A531-4082EAFA9887},70.6,C-
3 - 3,23,Brock Bowers,TE,Sacks in the City,207.33,12.2,144.2,12.02,12,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},70.56,C-
8 - 7,77,Tyrone Tracy Jr.,RB,Big Ballsy Bozos,187.15,11.01,118.9,8.49,14,{9B611343-247D-458B-88C3-50BB33789365},70.17,C-
1 - 5,5,Justin Jefferson,WR,Hall Pass,259.72,15.28,145.1,9.07,16,{9417088B-0880-4F8A-A127-759BF41D4603},69.92,D+
14 - 5,135,Cam Ward,QB,Ler of the Rings,257.24,15.13,177.48,11.09,16,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},69.66,D+
3 - 10,30,George Kittle,TE,Mhoney Hurts So Good,186.46,10.97,127.6,12.76,10,{5918A112-DDF9-4368-8414-A143EC58B846},69.31,D+
8 - 9,79,Mark Andrews,TE,Hunks of Hanet ,142.72,8.4,104.6,6.54,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},68.82,D+
11 - 5,105,Tucker Kraft,TE,Hall Pass,128.4,7.55,101.2,12.65,8,{9417088B-0880-4F8A-A127-759BF41D4603},68.09,D+
12 - 7,117,Dalton Kincaid,TE,Big Ballsy Bozos,118.83,6.99,100.3,9.12,11,{9B611343-247D-458B-88C3-50BB33789365},68.05,D+
5 - 5,45,Chuba Hubbard,RB,Hall Pass,234.16,13.77,107.7,7.69,14,{9417088B-0880-4F8A-A127-759BF41D4603},67.97,D+
10 - 5,95,Cooper Kupp,WR,Ler of the Rings,164.11,9.65,88.9,5.93,15,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},67.88,D+
6 - 2,52,Marvin Harrison Jr.,WR,Natural rack,198.75,11.69,107.3,8.94,12,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},67.86,D+
13 - 9,129,Darnell Mooney,WR,Natural rack,132.0,8.25,62.8,4.49,14,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},67.66,D+
4 - 8,38,Omarion Hampton,RB,Sacks in the City,239.01,14.06,119.7,13.3,9,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},67.61,D+
7 - 4,64,Aaron Jones Sr.,RB,Big Ballsy Bozos,190.81,11.22,104.7,8.73,12,{9B611343-247D-458B-88C3-50BB33789365},67.58,D+
12 - 10,120,Chris Godwin Jr.,WR,Chicken’s Cougars ,151.76,11.67,65.2,8.15,8,{E25AE41B-82C0-4A03-A531-4082EAFA9887},67.32,D+
12 - 5,115,Keon Coleman,WR,Ler of the Rings,172.85,10.17,75.5,6.29,12,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},67.0,D+
7 - 1,61,Brock Purdy,QB,Chicken’s Cougars ,306.21,18.01,172.2,21.52,8,{E25AE41B-82C0-4A03-A531-4082EAFA9887},66.85,D
7 - 2,62,Jerry Jeudy,WR,Hunks of Hanet ,186.37,10.96,92.5,5.78,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},66.51,D
14 - 10,140,Cedric Tillman,WR,Chicken’s Cougars ,134.56,7.92,46.7,3.89,12,{E25AE41B-82C0-4A03-A531-4082EAFA9887},66.12,D
16 - 3,153,Jaylen Wright,RB,Case Closed ,41.76,2.98,42.7,4.74,9,{1EC10606-80E9-4A6D-A618-E448864CAA58},65.87,D
14 - 8,138,Lions D/ST,D/ST,Sacks in the City,122.53,7.21,85.0,5.31,16,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},65.71,D
2 - 7,17,Brian Thomas Jr.,WR,Big Ballsy Bozos,222.38,13.08,108.4,8.34,13,{9B611343-247D-458B-88C3-50BB33789365},65.68,D
10 - 8,98,Ricky Pearsall,WR,Sacks in the City,163.96,9.64,70.6,7.84,9,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},65.61,D
4 - 3,33,Lamar Jackson,QB,Case Closed ,363.8,21.4,194.44,16.2,12,{1EC10606-80E9-4A6D-A618-E448864CAA58},65.43,D
13 - 3,123,Pat Freiermuth,TE,Sacks in the City,102.79,6.05,86.5,5.41,16,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},65.28,D
7 - 5,65,T.J. Hockenson,TE,Hall Pass,144.35,8.49,87.3,5.82,15,{9417088B-0880-4F8A-A127-759BF41D4603},64.49,D
13 - 10,130,Jayden Reed,WR,Mhoney Hurts So Good,147.35,8.67,39.0,6.5,6,{5918A112-DDF9-4368-8414-A143EC58B846},64.46,D
8 - 3,73,Isiah Pacheco,RB,Case Closed ,192.43,11.32,77.8,5.98,13,{1EC10606-80E9-4A6D-A618-E448864CAA58},64.33,D
5 - 4,44,Xavier Worthy,WR,Big Ballsy Bozos,140.73,11.73,88.9,6.35,14,{9B611343-247D-458B-88C3-50BB33789365},64.28,D
12 - 8,118,Tank Bigsby,RB,Sacks in the City,103.27,6.07,35.2,2.2,16,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},63.97,D
5 - 1,41,Alvin Kamara,RB,Chicken’s Cougars ,231.07,13.59,84.2,7.65,11,{E25AE41B-82C0-4A03-A531-4082EAFA9887},63.91,D
16 - 9,159,J.J. McCarthy,QB,Hunks of Hanet ,282.57,16.62,117.4,13.04,9,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},63.88,D
4 - 5,35,Terry McLaurin,WR,Ler of the Rings,204.74,12.04,87.5,9.72,9,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},63.7,D
15 - 5,145,Trey Benson,RB,Hall Pass,117.0,6.88,28.9,7.22,4,{9417088B-0880-4F8A-A127-759BF41D4603},63.57,D
11 - 4,104,Justin Fields,QB,Big Ballsy Bozos,299.32,17.61,142.66,15.85,9,{9B611343-247D-458B-88C3-50BB33789365},63.49,D
5 - 10,50,Garrett Wilson,WR,Mhoney Hurts So Good,196.7,11.57,81.5,10.19,8,{5918A112-DDF9-4368-8414-A143EC58B846},63.45,D
16 - 2,152,Adam Thielen,WR,Natural rack,84.41,4.97,24.3,1.62,15,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},63.33,D
6 - 7,57,Sam LaPorta,TE,Big Ballsy Bozos,154.47,9.09,86.9,9.66,9,{9B611343-247D-458B-88C3-50BB33789365},63.29,D
9 - 3,83,Matthew Golden,WR,Sacks in the City,169.25,9.96,54.2,4.17,13,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},62.59,D-
14 - 3,133,Ravens D/ST,D/ST,Case Closed ,122.95,7.23,74.0,4.62,16,{1EC10606-80E9-4A6D-A618-E448864CAA58},62.32,D-
10 - 4,94,Travis Hunter,WR,Jockstrap jubilee ,172.8,10.16,49.8,7.11,7,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},61.92,D-
11 - 2,102,Evan Engram,TE,Hunks of Hanet ,128.77,7.57,71.8,4.79,15,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},61.8,D-
6 - 1,51,Mike Evans,WR,Mhoney Hurts So Good,195.33,11.49,65.4,9.34,7,{5918A112-DDF9-4368-8414-A143EC58B846},61.47,D-
2 - 2,12,Bucky Irving,RB,Natural rack,256.74,15.1,113.2,12.58,9,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},61.45,D-
6 - 10,60,David Njoku,TE,Chicken’s Cougars ,140.28,8.25,69.8,5.82,12,{E25AE41B-82C0-4A03-A531-4082EAFA9887},60.75,D-
5 - 3,43,Joe Burrow,QB,Sacks in the City,330.46,19.44,113.32,16.19,7,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},59.76,F
5 - 2,42,Jayden Daniels,QB,Hunks of Hanet ,371.59,21.86,114.28,16.33,7,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},59.47,F
10 - 1,91,Austin Ekeler,RB,Mhoney Hurts So Good,181.45,10.67,10.6,5.3,2,{5918A112-DDF9-4368-8414-A143EC58B846},59.22,F
16 - 1,151,49ers D/ST,D/ST,Mhoney Hurts So Good,76.61,4.51,58.0,3.62,16,{5918A112-DDF9-4368-8414-A143EC58B846},59.19,F
6 - 9,59,Calvin Ridley,WR,Hunks of Hanet ,194.34,11.43,38.8,5.54,7,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},57.83,F
5 - 7,47,James Conner,RB,Jockstrap jubilee ,227.37,13.37,29.3,9.77,3,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},57.6,F
9 - 2,82,Kaleb Johnson,RB,Hunks of Hanet ,148.83,8.75,8.3,0.83,10,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},57.14,F
4 - 2,32,Tyreek Hill,WR,Natural rack,216.8,12.75,43.0,10.75,4,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},56.91,F
2 - 4,14,Malik Nabers,WR,Jockstrap jubilee ,247.78,14.58,48.1,12.03,4,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},55.85,F
9 - 1,81,Joe Mixon,RB,Chicken’s Cougars ,108.0,12.0,0.0,0.0,0,{E25AE41B-82C0-4A03-A531-4082EAFA9887},55.68,F
8 - 2,72,Kyler Murray,QB,Natural rack,306.94,18.06,77.78,15.56,5,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},55.67,F
15 - 10,150,Jason Sanders,K,Mhoney Hurts So Good,108.1,8.32,0.0,0.0,0,{5918A112-DDF9-4368-8414-A143EC58B846},54.16,F
15 - 8,148,Tyler Bass,K,Case Closed ,108.24,8.33,0.0,0.0,0,{1EC10606-80E9-4A6D-A618-E448864CAA58},53.76,F
15 - 6,146,Jets D/ST,D/ST,Ler of the Rings,99.84,5.87,40.0,2.5,16,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},53.71,F
