Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 3,3,Breece Hall,RB,Django Achane'd,289.43,20.67,240.9,15.06,16,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},75.79,C
2 - 1,11,A.J. Brown,WR,Trestleches,259.78,17.32,216.9,16.68,13,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},75.77,C
4 - 9,39,DK Metcalf,WR,Team Date,224.9,14.99,191.2,12.75,15,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},75.56,C
13 - 6,126,Jerome Ford,RB,BHam Legion,142.8,10.2,134.0,9.57,14,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},75.32,C
6 - 4,54,Rhamondre Stevenson,RB,Did I Set My Lineup?,191.88,13.71,175.9,11.73,15,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},75.23,C
3 - 4,24,Marvin Harrison Jr.,WR,RAJUN CAJUN,227.94,15.2,196.5,11.56,17,{97ABA629-8E14-4D1F-95C6-919C4601753F},75.22,C
14 - 9,139,Adam Thielen,WR,Team Date,171.4,11.43,139.5,13.95,10,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},75.18,C
14 - 4,134,Cowboys D/ST,D/ST,Did I Set My Lineup?,131.5,7.74,92.0,5.41,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},75.16,C
2 - 5,15,Puka Nacua,WR,BHam Legion,257.99,17.2,206.6,18.78,11,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},74.91,C
9 - 5,85,Javonte Williams,RB,Jim-a-sore-ass,185.2,13.23,157.9,9.29,17,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},74.72,C
16 - 10,160,Younghoe Koo,K,OAC PADS,137.08,8.06,111.0,7.93,14,{8EF83BEE-329B-4056-9953-F0E1B26AC099},74.32,C
12 - 4,114,Jets D/ST,D/ST,Did I Set My Lineup?,130.8,7.69,89.0,5.24,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},74.07,C
7 - 2,62,Kyle Pitts,TE,Team Date,167.16,11.14,131.2,7.72,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},73.57,C
9 - 1,81,Brian Robinson Jr.,RB,OAC PADS,178.79,12.77,159.8,11.41,14,{8EF83BEE-329B-4056-9953-F0E1B26AC099},73.51,C
15 - 2,142,Dolphins D/ST,D/ST,Team Date,116.75,6.87,86.0,5.06,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},73.5,C
16 - 7,157,Jake Moody,K,RAJUN CAJUN,138.58,8.15,108.0,7.71,14,{97ABA629-8E14-4D1F-95C6-919C4601753F},73.44,C
5 - 9,49,Cooper Kupp,WR,Control Machete,217.96,14.53,175.0,14.58,12,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},73.25,C
9 - 10,90,Jordan Love,QB,Trestleches,206.72,17.23,233.86,15.59,15,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},72.99,C-
16 - 9,159,Cairo Santos,K,Team Date,137.1,8.06,105.0,6.18,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},72.84,C-
3 - 7,27,Rachaad White,RB,Did I Set My Lineup?,225.31,16.09,199.6,12.48,16,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},72.71,C-
7 - 4,64,George Pickens,WR,RAJUN CAJUN,208.97,13.93,164.4,11.74,14,{97ABA629-8E14-4D1F-95C6-919C4601753F},72.69,C-
11 - 9,109,49ers D/ST,D/ST,Control Machete,127.76,7.52,84.0,4.94,17,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},72.61,C-
10 - 6,96,DeAndre Hopkins,WR,Jim-a-sore-ass,177.87,12.7,147.0,9.19,16,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},72.1,C-
15 - 9,149,Antonio Gibson,RB,Control Machete,141.85,10.91,103.4,6.08,17,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},72.03,C-
10 - 8,98,Rome Odunze,WR,Django Achane'd,175.21,11.68,144.9,8.52,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},71.89,C-
14 - 1,131,Tyler Allgeier,RB,Trestleches,141.24,10.09,106.2,6.25,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},71.86,C-
15 - 5,145,Dalton Schultz,TE,Jim-a-sore-ass,133.13,8.88,118.2,6.95,17,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},71.6,C-
12 - 7,117,Tyler Lockett,WR,RAJUN CAJUN,170.33,12.17,121.0,7.12,17,{97ABA629-8E14-4D1F-95C6-919C4601753F},71.19,C-
5 - 7,47,C.J. Stroud,QB,Did I Set My Lineup?,276.58,18.44,220.38,12.96,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},70.69,C-
9 - 3,83,Austin Ekeler,RB,Django Achane'd,173.46,12.39,132.3,11.03,12,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},70.43,C-
3 - 2,22,Michael Pittman Jr.,WR,Team Date,230.91,15.39,165.8,10.36,16,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},70.32,C-
7 - 9,69,Tank Dell,WR,Control Machete,211.88,14.13,140.0,10.0,14,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},70.07,C-
9 - 4,84,Jaylen Warren,RB,RAJUN CAJUN,177.64,12.69,124.1,8.27,15,{97ABA629-8E14-4D1F-95C6-919C4601753F},69.81,D+
4 - 10,40,Deebo Samuel Sr.,WR,OAC PADS,221.23,15.8,153.6,10.24,15,{8EF83BEE-329B-4056-9953-F0E1B26AC099},69.7,D+
9 - 9,89,Tyjae Spears,RB,Control Machete,175.41,12.53,113.6,9.47,12,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},69.52,D+
7 - 6,66,Chris Godwin,WR,BHam Legion,214.03,14.27,137.8,19.69,7,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},69.05,D+
10 - 10,100,Devin Singletary,RB,OAC PADS,168.32,12.02,96.6,6.44,15,{8EF83BEE-329B-4056-9953-F0E1B26AC099},68.97,D+
10 - 7,97,Jake Ferguson,TE,RAJUN CAJUN,165.68,11.05,104.4,7.46,14,{97ABA629-8E14-4D1F-95C6-919C4601753F},68.7,D+
8 - 6,76,Harrison Butker,K,Jim-a-sore-ass,146.59,8.62,96.0,7.38,13,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},68.63,D+
12 - 9,119,Dallas Goedert,TE,Team Date,152.14,10.14,103.6,10.36,10,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},68.54,D+
