Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
dFIBulators,64.16,D,Ross' Fantasy League,8,1654.06,1788.48,5-8-0,2025,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
Pineapples and Tartar Sauce,64.05,D,0755 Fantasy Football,7,1328.16,1306.22,7-6-0,2023,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
I'm Sorry Mrs. Jackson,63.95,D,OnP Fantasy,12,1426.84,1672.84,6-8-0,2025,{71372B03-57FD-4FCB-AA0B-69957655412D}
MOTHER MAY I,63.84,D,0755 Fantasy Football,6,1338.94,1243.64,8-5-0,2023,{5E530C03-3F19-48F0-A309-52B769E76347}
The Hungry Dogs,63.65,D,EBC League,7,1710.78,1704.76,5-9-0,2023,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Bhambhwani Pawan Dilip,63.6,D,Game of Yards!,9,1379.72,1423.08,9-19-0,2023,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Groot-o-Matic,63.5,D,Game of Yards!,4,1620.12,1699.22,13-15-0,2024,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Chicken’s Cougars ,63.4,D,Operators Football League,8,1220.16,1640.34,2-12-0,2025,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
First down syndrome ,63.17,D,EBC League,4,1594.3,1604.86,6-8-0,2024,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
Inglorious Staffords,63.13,D,Game of Yards!,6,1548.34,1548.36,7-7-0,2021,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Abyss Diamond Eyes,63.12,D,EBC League,7,1535.1,1804.12,4-10-0,2024,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Team Amiji,62.93,D-,Game of Yards!,10,1326.58,1412.48,5-8-0,2019,{8EF83BEE-329B-4056-9953-F0E1B26AC099}
Crazy Kat,62.91,D-,THE BEST OF THE BEST,10,1411.42,1552.58,3-11-0,2025,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
I'd_Tap_ That,62.81,D-,Pennoni Younglings,12,1246.7,1362.22,4-10-0,2022,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
BurgerBoyz,62.79,D-,Brown Munde,9,1419.1,1503.12,8-20-0,2024,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Prahlad's Ghost,62.56,D-,Pennoni Younglings,10,1376.22,1501.54,4-10-0,2023,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Matthew Dorchak,62.49,D-,Philly Extra Special,2,1709.32,1519.74,8-6-0,2025,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Gato’s Mom Breezy,62.45,D-,RRR On Premise ,3,1548.8,1391.14,10-4-0,2021,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07}
The Upside Down,62.45,D-,THE BEST OF THE BEST,9,1468.42,1538.86,5-9-0,2023,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Team CTE,62.44,D-,Game of Yards!,1,1687.66,1721.36,14-14-0,2025,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Case Closed ,62.41,D-,Operators Football League,10,1344.88,1504.02,5-9-0,2025,{1EC10606-80E9-4A6D-A618-E448864CAA58}
3rd World Immigrant,62.36,D-,0755 Fantasy Football,1,1397.9,1171.52,9-3-0,2023,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Yvng Killas,62.11,D-,Ross' Fantasy League,9,1768.56,1674.74,6-7-0,2025,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Chicken Fried Chicken Meal,62.1,D-,0755 Fantasy Football,9,1483.38,1692.88,3-11-0,2025,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Muqaddar Ka Sikandar,62.07,D-,Game of Yards!,8,1441.86,1543.06,6-8-0,2020,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Lucky #13s,62.06,D-,THE BEST OF THE BEST,7,1400.58,1271.62,10-4-0,2022,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Riley  Read option,61.98,D-,EBC League,4,1509.8,1587.32,7-7-0,2025,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Pho_King,61.9,D-,Pennoni Younglings,11,1431.62,1473.68,6-8-0,2025,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
The Chase is on,61.61,D-,Game of Yards!,7,1520.92,1805.2,9-19-0,2025,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Pain Inflictors,61.45,D-,Game of Yards!,7,1443.82,1602.02,5-9-0,2020,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Shindo ,61.15,D-,RRR On Premise ,6,1596.24,1537.64,8-6-0,2023,{16A413B2-9FE8-4937-A413-B29FE8093782}
Oklahoma Go Sports!,60.89,D-,RRR On Premise ,14,1202.3,1512.58,3-10-1,2021,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Jeffrey's not so Scary Team,60.87,D-,BP- Loudoun 2025,11,1490.36,1916.62,3-12-0,2025,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Hark,60.82,D-,Brown Munde,9,1422.8,1502.72,5-9-0,2023,{8BF15A87-7793-43C2-B15A-87779313C26A}
Cooper Troopers,60.76,D-,Game of Yards!,5,1684.36,1555.74,17-11-0,2024,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Bhambhwani Pawan Dilip,59.73,F,Game of Yards!,9,1183.8,1453.16,2-11-0,2019,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Philadelphia British Army,59.69,F,Pennoni Younglings,11,1412.86,1455.82,6-8-0,2023,{65213399-AD95-4113-B087-DAB0440DEF10}
Pennoni Adjacent,59.64,F,Pennoni Younglings,12,1451.64,1566.3,6-8-0,2024,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Abyss Diamond Eyes,59.13,F,EBC League,5,1768.88,1690.06,7-7-0,2021,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
The  Dream crusher,58.58,F,THE BEST OF THE BEST,13,1212.86,1463.68,3-11-0,2024,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Hark,58.37,F,Brown Munde,9,1259.9,1610.72,5-23-0,2025,{8BF15A87-7793-43C2-B15A-87779313C26A}
Prahlad's  Life Coach,58.37,F,0755 Fantasy Football,10,1375.96,1331.74,6-8-0,2022,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Hurts so good,58.18,F,The Girl's Room 💞🏈,18,1105.06,1488.72,3-12-0,2025,{2CC644B9-3D0A-49C1-A594-91F37AAB004C}
AJ's Awesome Team,58.07,F,0755 Fantasy Football,8,1415.64,1534.26,3-11-0,2025,{353273A6-6607-4A68-ADDE-CC045C217594}
Girth Brooks,57.94,F,Pennoni Younglings,10,1218.66,1524.02,4-10-0,2022,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Get Money Gang,57.93,F,The Mike Daisy Sports IQ League,3,1593.08,1593.48,8-6-0,2025,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Sacks in the City,57.24,F,Operators Football League,9,1416.48,1491.92,6-8-0,2025,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Ertz When I Pee,56.83,F,THE BEST OF THE BEST,11,1389.46,1430.44,5-9-0,2025,{F3D1384A-36F5-4EFA-B444-3241073A1940}
Muqaddar Ka Sikandar,56.77,F,Game of Yards!,9,1341.28,1650.04,4-10-0,2021,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
the   jadey bunch,56.69,F,THE BEST OF THE BEST,14,1268.36,1491.46,4-10-0,2024,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
PAI Athletic Director,56.64,F,Pennoni Younglings,9,1268.12,1406.9,4-10-0,2022,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Claytons Team of Experts,56.55,F,OnP Fantasy,8,1356.58,1746.66,2-12-0,2025,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
Rizzly Bears,56.46,F,Family Fantasy,9,1334.2,1407.84,3-11-0,2025,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Kelce You Again!,56.13,F,Game of Yards!,6,1537.8,1657.42,13-15-0,2023,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Team CTE,55.95,F,Game of Yards!,10,1413.82,1500.76,10-18-0,2023,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Obi-Wan Jakobi,55.67,F,Game of Yards!,8,1622.1,1593.9,11-17-0,2025,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Still Rollin',55.28,F,Brown Munde,6,1605.28,1377.64,17-11-0,2025,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 Many Cooks,54.67,F,Game of Yards!,7,1406.48,1555.1,5-9-0,2022,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Green,54.24,F,Brown Munde,6,1478.98,1511.92,8-6-0,2023,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
yay football woo,53.55,F,Philly Extra Special,10,1390.26,1561.36,4-10-0,2025,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
The Upside Down,53.2,F,THE BEST OF THE BEST,12,1365.58,1484.02,6-8-0,2024,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Furnace Party,53.14,F,0755 Fantasy Football,11,1003.96,1488.88,0-13-0,2023,{895560E7-2F06-4344-BFC6-24F2919D0BB0}
Team Padodara,51.77,F,Brown Munde,10,1375.64,1701.3,8-20-0,2024,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Taco Tuesday Everyday,51.73,F,THE BEST OF THE BEST,14,1248.4,1332.82,5-9-0,2023,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Dirty Tone and  The Boys,51.58,F,THE BEST OF THE BEST,13,1236.68,1612.4,3-11-0,2025,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Take off your  fants,,,LargeScale Fantasy Footballers,1,1779.28,1467.24,11-3-0,2021,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Team O'Kane,,,LargeScale Fantasy Footballers,2,1829.78,1617.92,10-4-0,2021,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Team Daisey,,,LargeScale Fantasy Footballers,3,1727.4,1718.24,8-6-0,2021,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
Coopers Troopers,,,LargeScale Fantasy Footballers,4,1590.94,1542.3,8-6-0,2021,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Cabin In the woods,,,LargeScale Fantasy Footballers,5,1647.06,1553.78,7-7-0,2021,{EB7C9FAD-350F-4480-B715-11DADF546449}
David Smells  Putrid,,,LargeScale Fantasy Footballers,6,1255.48,1612.56,3-11-0,2021,{31AAA2EE-2271-4A2D-AAA2-EE2271DA2DCA}
King of The Hill,,,LargeScale Fantasy Footballers,7,1647.54,1824.66,3-11-0,2021,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Boutta Cook Up In The Kittle,,,LargeScale Fantasy Footballers,8,1545.84,1686.62,6-8-0,2021,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Toby's Favorite Employee,,,RRR On Premise ,1,1622.72,1451.58,9-5-0,2022,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Hurts So Good,,,RRR On Premise ,2,1643.72,1489.2,9-5-0,2022,{17471759-D3C1-4206-8612-A156BCC23AA1}
Mr. Rodgers'  Neighborhood ,,,RRR On Premise ,3,1591.96,1320.5,12-2-0,2022,{16A413B2-9FE8-4937-A413-B29FE8093782}
Ready For Hockey Season ,,,RRR On Premise ,4,1762.7,1574.94,10-4-0,2022,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A}
Victorious  Secret,,,RRR On Premise ,5,1578.62,1439.16,9-5-0,2022,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Jackson's Tiktok,,,RRR On Premise ,6,1478.08,1497.26,6-8-0,2022,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Funky Town Waffle Stomps,,,RRR On Premise ,7,1706.74,1613.0,8-6-0,2022,{2D55E6BC-7D33-4BD7-9406-CB412DDA6B48}
Oklahoma Go Sports!,,,RRR On Premise ,8,1467.76,1582.52,5-9-0,2022,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
 Johnny  Dramas ,,,RRR On Premise ,9,1483.12,1596.38,5-9-0,2022,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Bench Last Place ,,,RRR On Premise ,10,1401.88,1660.54,4-10-0,2022,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
Dennis The Menace ,,,RRR On Premise ,11,1456.56,1553.16,5-9-0,2022,{72E06046-9EEC-4999-A060-469EEC399959}
Boss  Lady,,,RRR On Premise ,12,1253.12,1668.74,2-12-0,2022,{FDBF5791-5905-46A0-A1F2-951A16CD0A0C}
Can You Diggs It?,,,The Mike Daisy Sports IQ League,1,1941.98,1680.04,11-3-0,2023,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Team Brill,,,The Mike Daisy Sports IQ League,2,2005.12,1784.96,9-5-0,2023,{A0CBA4C6-C970-4DD7-BBE8-CB645B79137D}
Calvin's Bookie,,,The Mike Daisy Sports IQ League,3,1821.9,1817.64,8-6-0,2023,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Get Money Gang,,,The Mike Daisy Sports IQ League,4,1723.9,1790.54,7-7-0,2023,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Moore Chubb,,,The Mike Daisy Sports IQ League,5,1841.5,1810.38,7-7-0,2023,{8FDD5AF7-2681-4166-9D5A-F72681316688}
thechampishere,,,The Mike Daisy Sports IQ League,6,1954.52,1946.72,8-6-0,2023,{76625186-E5C0-4260-9AB2-240171B7C267}
Team Daisey,,,The Mike Daisy Sports IQ League,7,1787.84,1815.66,6-8-0,2023,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
David Okane,,,The Mike Daisy Sports IQ League,8,1542.58,1796.34,4-10-0,2023,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Bass Pro Shop,,,The Mike Daisy Sports IQ League,9,1673.24,1851.96,4-10-0,2023,{474CA494-4AD5-4520-A2B3-20C7F8715363}
My ball zach ertz,,,The Mike Daisy Sports IQ League,10,1825.22,1823.56,6-8-0,2023,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
 Johnny  Dramas ,,,RRR On Premise ,1,1854.74,1542.4,9-5-0,2024,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Master and commanders,,,RRR On Premise ,2,1642.34,1570.08,9-5-0,2024,{16A413B2-9FE8-4937-A413-B29FE8093782}
Kill Bills ,,,RRR On Premise ,3,1727.08,1576.14,8-6-0,2024,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Plano Pipebombs ,,,RRR On Premise ,4,1633.54,1680.02,7-7-0,2024,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Claytons Team of Experts,,,RRR On Premise ,5,1646.92,1563.42,9-5-0,2024,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
Texadelphia,,,RRR On Premise ,6,1720.32,1722.84,6-8-0,2024,{17471759-D3C1-4206-8612-A156BCC23AA1}
Stephen's Super Team,,,RRR On Premise ,7,1709.52,1692.56,8-6-0,2024,{E6292D15-54EC-4D1B-8122-E30E7276B5FE}
That's Purdy Koo,,,RRR On Premise ,8,1568.96,1587.76,9-5-0,2024,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
"No, This Is Patrick!",,,RRR On Premise ,9,1492.36,1704.6,5-9-0,2024,{95F44A62-C032-49BB-9961-F1B40077DCE9}
Dennis The Menace ,,,RRR On Premise ,10,1656.48,1654.52,6-8-0,2024,{72E06046-9EEC-4999-A060-469EEC399959}
Bear Down,,,RRR On Premise ,11,1408.74,1627.5,5-9-0,2024,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Big Kirko,,,RRR On Premise ,12,1513.82,1652.98,3-11-0,2024,{ED820BF3-C942-4041-820B-F3C9425041D9}
