Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
Team Rodriguez,85.18,B,THE BEST OF THE BEST,1,1600.66,1444.68,10-4-0,2025,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Lamb of Goedert,85.06,B,The Girl's Room 💞🏈,15,1454.76,1591.68,5-10-0,2025,{4DBC9875-C246-495B-9731-408DC5E2DFCE}
19th St Halal Cart,84.98,B,Pennoni Younglings,3,1661.48,1543.12,10-4-0,2023,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Werewolves of London,84.95,B,EBC League,3,1726.68,1538.4,9-5-0,2025,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Peter Pan + the Lost Boys ,84.94,B,THE BEST OF THE BEST,6,1497.68,1465.54,7-7-0,2025,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Amon Yo Ass Boy,84.83,B,The Mike Daisy Sports IQ League,9,1618.3,1721.22,7-7-0,2025,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Riley  Read option,84.69,B,EBC League,3,1723.68,1609.62,11-3-0,2023,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Off Script ,84.65,B,THE BEST OF THE BEST,2,1556.32,1363.82,9-5-0,2023,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
CeeDee'sNUTZ,84.58,B,The Mike Daisy Sports IQ League,4,1936.66,1725.9,10-4-0,2025,{76625186-E5C0-4260-9AB2-240171B7C267}
Numb Nutz - CHAMP,84.46,B,Family Fantasy,1,1499.72,1502.28,8-6-0,2024,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
Philadelphia Bills Mafia,84.43,B,Pennoni Younglings,1,1770.28,1620.18,9-5-0,2025,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Division iPad,84.22,B,0755 Fantasy Football,2,1708.4,1621.36,11-3-0,2024,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Team Behel,84.19,B,RRR On Premise ,10,1511.32,1555.66,6-8-0,2021,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82}
Cans in My Hands,84.06,B,OnP Fantasy,7,1405.76,1489.32,6-8-0,2025,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
Nikki  ,83.86,B,The Girl's Room 💞🏈,5,1554.72,1436.82,9-6-0,2025,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C}
Pleasant Valley Panthers,83.83,B,EBC League,3,1710.14,1757.36,6-8-0,2021,{8DC6CB03-411B-4540-86CB-03411B854029}
Eli,83.79,B,Pennoni Younglings,2,1633.28,1560.4,8-6-0,2025,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
