Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
9 - 4,84,Tyrone Tracy Jr.,RB,yay football woo,206.87,12.17,132.9,9.49,14,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},72.43,C-
4 - 10,40,George Kittle,TE,i just wasted $20,227.72,13.4,153.6,15.36,10,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},72.25,C-
10 - 5,95,J.K. Dobbins,RB,Steenage Mutant Ninja Turtles,171.37,10.08,115.9,11.59,10,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},72.09,C-
13 - 4,124,Tyjae Spears,RB,yay football woo,119.18,9.17,102.0,8.5,12,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},72.06,C-
12 - 9,119,Steelers D/ST,D/ST,The Real Kevin Nichols,132.67,7.8,109.0,6.81,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},71.88,C-
14 - 7,137,Jake Elliott,K,yay football woo,141.38,8.32,104.0,6.5,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},71.77,C-
4 - 3,33,Kenneth Walker III,RB,Matthew Dorchak,238.79,14.05,174.6,10.91,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},70.68,C-
9 - 3,83,Mark Andrews,TE,Kevin Nichols The Third,173.38,10.2,127.6,7.98,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},70.58,C-
4 - 8,38,Omarion Hampton,RB,Kevin Nichols The Third,259.42,15.26,135.7,15.08,9,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},70.49,C-
9 - 1,81,Cooper Kupp,WR,i just wasted $20,202.37,11.9,111.4,7.43,15,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},69.49,D+
5 - 10,50,Marvin Harrison Jr.,WR,Matthew Golden's Goose,240.0,14.12,127.8,10.65,12,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},69.16,D+
12 - 10,120,Dalton Kincaid,TE,i just wasted $20,146.83,8.64,118.3,10.75,11,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},69.12,D+
15 - 5,145,Darnell Mooney,WR,Pickens Brown Hubbard @ Mahomes,160.79,10.05,77.3,5.52,14,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},68.96,D+
10 - 2,92,Tucker Kraft,TE,Dr@ft King$,159.96,9.41,117.2,14.65,8,{3389AE65-1498-46A0-8119-84AC1B8D92A9},68.89,D+
6 - 10,60,Jerry Jeudy,WR,i just wasted $20,231.44,13.61,116.5,7.28,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},68.35,D+
11 - 10,110,Keon Coleman,WR,Matthew Golden's Goose,201.02,11.82,93.5,7.79,12,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},68.34,D+
6 - 9,59,Aaron Jones Sr.,RB,The Real Kevin Nichols,216.32,12.72,118.7,9.89,12,{DFBF45BA-746C-4337-BF45-BA746C73373F},68.24,D+
12 - 5,115,Chris Godwin Jr.,WR,Steenage Mutant Ninja Turtles,187.56,14.43,81.2,10.15,8,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},68.08,D+
2 - 8,18,Brian Thomas Jr.,WR,Kevin Nichols The Third,270.04,15.88,130.9,10.07,13,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},67.84,D+
7 - 6,66,T.J. Hockenson,TE,Steenage Mutant Ninja Turtles,184.54,10.86,112.8,7.52,15,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},67.32,D+
10 - 9,99,Brock Purdy,QB,The Real Kevin Nichols,306.21,18.01,172.2,21.53,8,{DFBF45BA-746C-4337-BF45-BA746C73373F},67.03,D+
11 - 1,101,Ricky Pearsall,WR,i just wasted $20,198.38,11.67,88.6,9.84,9,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},66.97,D
4 - 6,36,Chuba Hubbard,RB,Pickens Brown Hubbard @ Mahomes,258.55,15.21,121.7,8.69,14,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},66.68,D
5 - 9,49,Xavier Worthy,WR,Dr@ft King$,166.79,13.9,109.9,7.85,14,{3389AE65-1498-46A0-8119-84AC1B8D92A9},65.96,D
15 - 4,144,Lions D/ST,D/ST,yay football woo,122.53,7.21,85.0,5.31,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},65.71,D
3 - 3,23,Lamar Jackson,QB,Kevin Nichols The Third,363.8,21.4,194.44,16.2,12,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},65.41,D
6 - 3,53,Garrett Wilson,WR,Matthew Dorchak,241.4,14.2,99.5,12.44,8,{A6404CB9-25F0-4B29-804C-B925F0CB2975},65.06,D
4 - 7,37,Alvin Kamara,RB,yay football woo,266.7,15.69,100.7,9.15,11,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},64.91,D
8 - 6,76,Isiah Pacheco,RB,Pickens Brown Hubbard @ Mahomes,213.79,12.58,87.3,6.72,13,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},64.8,D
4 - 1,31,Terry McLaurin,WR,Matthew Golden's Goose,247.66,14.57,104.5,11.61,9,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},64.47,D
13 - 6,126,Jerome Ford,RB,Steenage Mutant Ninja Turtles,109.27,6.43,43.6,3.35,13,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},64.33,D
