Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 1,13,A.J. Brown,WR,cman,275.94,16.23,220.3,14.69,15,{3038B793-C0D8-4773-82BA-30F522EA1C1A},80.13,B-
9 - 5,101,Zach Charbonnet,RB,Prahlad's Ghost,137.09,8.06,162.7,10.85,15,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},79.8,C+
13 - 7,151,Rachaad White,RB,Eli,128.13,7.54,136.9,8.56,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},79.38,C+
9 - 12,108,Broncos D/ST,D/ST,cman,145.76,8.57,138.0,8.62,16,{3038B793-C0D8-4773-82BA-30F522EA1C1A},79.22,C+
15 - 2,170,Patriots D/ST,D/ST,Daddy's Finally Home,113.99,6.71,129.0,8.06,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},79.13,C+
9 - 11,107,Khalil Shakir,WR,Philadelphia Bills Mafia,196.48,11.56,166.4,10.4,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},79.1,C+
3 - 3,27,Josh Jacobs,RB,1900 Sleepers,283.18,16.66,237.1,15.81,15,{FB64662C-A6C7-423B-B6EE-231900310D44},78.94,C+
4 - 11,47,TreVeyon Henderson,RB,Daddy's Finally Home,224.01,13.18,188.9,11.81,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},78.79,C+
14 - 4,160,Jordan Addison,WR,The Golden Receivers,167.4,11.96,133.3,10.25,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},78.7,C+
7 - 5,77,Baker Mayfield,QB,Prahlad's Ghost,311.93,18.35,258.7,16.17,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},78.52,C+
15 - 6,174,Chris Boswell,K,Christian McCalf-Injury,135.83,7.99,133.0,8.31,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},78.46,C+
8 - 3,87,Jakobi Meyers,WR,Red Zone Risk Assessors,219.79,12.93,166.4,11.09,15,{6FB8D500-4E34-47B8-9028-B156BEC56621},78.44,C+
2 - 10,22,Tee Higgins,WR,1900 Sleepers,265.63,15.63,192.9,13.78,14,{FB64662C-A6C7-423B-B6EE-231900310D44},78.4,C+
10 - 3,111,Rhamondre Stevenson,RB,Red Zone Risk Assessors,173.18,10.19,143.5,11.04,13,{6FB8D500-4E34-47B8-9028-B156BEC56621},78.37,C+
15 - 12,180,Tyler Loop,K,cman,132.29,7.78,132.0,8.25,16,{3038B793-C0D8-4773-82BA-30F522EA1C1A},78.36,C+
9 - 6,102,Jauan Jennings,WR,Christian McCalf-Injury,192.87,11.35,165.8,11.84,14,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},78.35,C+
13 - 4,148,Vikings D/ST,D/ST,Pho_King,133.82,7.87,133.0,8.31,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},78.29,C+
11 - 3,123,Eagles D/ST,D/ST,1900 Sleepers,106.54,6.27,133.0,8.31,16,{FB64662C-A6C7-423B-B6EE-231900310D44},78.26,C+
4 - 7,43,DK Metcalf,WR,Christian McCalf-Injury,240.74,14.16,187.2,12.48,15,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},78.02,C+
12 - 12,144,Hollywood Brown,WR,PAI Alcoholics Anonymous ,174.1,10.24,128.3,8.55,15,{0CE04EAF-1603-4259-869A-A567F9953F44},77.93,C+
12 - 4,136,Jordan Love,QB,The Golden Receivers,265.4,15.61,235.14,15.68,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},77.9,C+
12 - 3,135,Chase McLaughlin,K,Red Zone Risk Assessors,144.29,8.49,136.0,8.5,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},77.63,C+
6 - 2,62,Tony Pollard,RB,Philadelphia Bills Mafia,222.34,13.08,176.3,11.02,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},77.43,C+
13 - 8,152,Jake Bates,K,19th St Halal Cart,143.26,8.43,129.0,8.06,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},76.98,C
1 - 7,7,CeeDee Lamb,WR,Eli,317.89,18.7,199.5,15.35,13,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},76.95,C
14 - 6,162,Jayden Higgins,WR,Eli,161.57,9.5,119.2,7.45,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},76.93,C
10 - 1,109,Rashee Rice,WR,cman,163.19,14.84,150.1,18.76,8,{3038B793-C0D8-4773-82BA-30F522EA1C1A},76.91,C
5 - 6,54,Kenneth Walker III,RB,Christian McCalf-Injury,238.99,14.06,174.6,10.91,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},76.89,C
2 - 5,17,Drake London,WR,19th St Halal Cart,267.62,15.74,184.1,16.74,11,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},76.52,C
2 - 9,21,Ladd McConkey,WR,Pho_King,243.46,14.32,180.9,11.31,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.51,C
15 - 7,175,Cairo Santos,K,Eli,137.76,8.1,123.0,8.79,14,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},76.48,C
5 - 7,55,DJ Moore,WR,Eli,238.13,14.01,168.08,10.51,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},76.08,C
1 - 10,10,Ashton Jeanty,RB,Red Zone Risk Assessors,302.35,17.79,232.7,14.54,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},76.02,C
14 - 9,165,Harrison Butker,K,Pho_King,133.03,7.83,123.0,7.69,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.0,C
2 - 7,19,Brock Bowers,TE,Christian McCalf-Injury,262.41,15.44,176.2,14.68,12,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},75.96,C
1 - 4,4,Saquon Barkley,RB,Pho_King,326.46,19.2,232.3,14.52,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},75.72,C
11 - 9,129,Josh Downs,WR,The Golden Receivers,179.18,10.54,126.8,8.45,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},75.6,C
10 - 4,112,Jordan Mason,RB,The Golden Receivers,133.7,7.86,119.5,7.97,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},75.5,C
8 - 6,90,Jacory Croskey-Merritt,RB,Eli,163.88,9.64,137.4,8.59,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},75.12,C
5 - 12,60,David Montgomery,RB,cman,213.54,12.56,160.42,10.03,16,{3038B793-C0D8-4773-82BA-30F522EA1C1A},75.02,C
11 - 2,122,Colston Loveland,TE,Daddy's Finally Home,155.25,9.13,140.0,9.33,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.94,C
15 - 9,177,Wil Lutz,K,The Golden Receivers,130.25,7.66,114.0,7.12,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.66,C
8 - 7,91,Cam Skattebo,RB,Christian McCalf-Injury,139.42,8.2,127.7,15.96,8,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},74.46,C
1 - 3,3,Justin Jefferson,WR,1900 Sleepers,316.21,18.6,183.1,11.44,16,{FB64662C-A6C7-423B-B6EE-231900310D44},74.45,C
6 - 7,67,Rome Odunze,WR,Christian McCalf-Injury,217.21,12.78,146.1,12.18,12,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},74.28,C
13 - 9,153,Bills D/ST,D/ST,The Golden Receivers,113.33,6.67,118.0,7.38,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.15,C
9 - 8,104,J.K. Dobbins,RB,19th St Halal Cart,171.46,10.09,115.9,11.59,10,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},73.76,C
3 - 9,33,George Kittle,TE,The Golden Receivers,227.9,13.41,153.6,15.36,10,{4656A2AD-A939-460B-96A2-ADA939760B8B},73.43,C
12 - 5,137,C.J. Stroud,QB,19th St Halal Cart,281.63,16.57,191.28,14.71,13,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},73.42,C
15 - 8,176,Bhayshul Tuten,RB,19th St Halal Cart,4.71,0.28,80.3,5.74,14,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},73.28,C
15 - 4,172,Cam Ward,QB,Pho_King,257.95,15.17,177.48,11.09,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},73.03,C
15 - 1,169,DeMario Douglas,WR,PAI Alcoholics Anonymous ,141.76,8.34,90.9,5.68,16,{0CE04EAF-1603-4259-869A-A567F9953F44},72.63,C-
7 - 4,76,Tyrone Tracy Jr.,RB,Pho_King,207.04,12.18,132.9,9.49,14,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},72.54,C-
14 - 12,168,Marvin Mims Jr.,WR,PAI Alcoholics Anonymous ,149.12,8.77,90.0,6.43,14,{0CE04EAF-1603-4259-869A-A567F9953F44},72.47,C-
7 - 8,80,Mark Andrews,TE,19th St Halal Cart,173.43,10.2,127.6,7.97,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},72.29,C-
9 - 1,97,Steelers D/ST,D/ST,PAI Alcoholics Anonymous ,147.19,8.66,115.0,7.19,16,{0CE04EAF-1603-4259-869A-A567F9953F44},72.23,C-
12 - 9,141,Zach Ertz,TE,Pho_King,141.82,8.34,126.4,9.72,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},72.19,C-
