Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
14 - 9,165,Jake Bates,K,BetterThanDeanAtSF6,146.36,8.61,132.0,8.25,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},78.97,C+
16 - 9,189,Sam Darnold,QB,BetterThanDeanAtSF6,241.69,14.22,226.6,14.16,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},78.94,C+
16 - 11,191,Cairo Santos,K,Caleb's Calculated Team,140.6,8.27,127.0,9.07,14,{73111650-DB56-4FEE-A451-8B9B298D4624},78.86,C+
12 - 9,141,Broncos D/ST,D/ST,BetterThanDeanAtSF6,130.13,7.65,124.0,7.75,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},78.79,C+
6 - 3,63,TreVeyon Henderson,RB,Dookey Dukes,223.83,13.17,188.9,11.81,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},78.79,C+
8 - 11,95,Jakobi Meyers,WR,Caleb's Calculated Team,219.64,12.92,166.4,11.09,15,{73111650-DB56-4FEE-A451-8B9B298D4624},78.44,C+
1 - 7,7,Baker Mayfield,QB,dFIBulators,310.96,18.29,258.7,16.17,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},78.11,C+
13 - 6,150,Vikings D/ST,D/ST,Ross' Sauces,120.67,7.1,120.0,7.5,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},78.05,C+
3 - 2,26,Josh Jacobs,RB,Caleb's Calculated Team,282.87,16.64,237.1,15.81,15,{73111650-DB56-4FEE-A451-8B9B298D4624},77.98,C+
13 - 5,149,Hollywood Brown,WR,Balls@ck Gafoor,174.0,10.24,128.3,8.55,15,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},77.93,C+
13 - 2,146,Rachaad White,RB,Caleb's Calculated Team,128.09,7.53,136.9,8.56,16,{73111650-DB56-4FEE-A451-8B9B298D4624},77.93,C+
15 - 7,175,Patriots D/ST,D/ST,dFIBulators,101.44,5.97,119.0,7.44,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},77.77,C+
