Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
12 - 8,118,Brandon Aubrey,K,I'm Batman,137.81,8.11,179.6,11.22,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},86.32,B
16 - 4,154,Matthew Stafford,QB,Chicken Fried Chicken Meal,274.08,16.12,323.72,20.23,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},86.27,B
16 - 2,152,Ka'imi Fairbairn,K,Division iPad,130.36,7.67,164.0,11.71,14,{A279F58E-795F-4115-B9F5-8E795F7115FC},84.78,B
3 - 6,26,Josh Allen,QB,Mr Steinfeld's Stars,367.87,21.64,364.62,22.79,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},84.5,B
10 - 8,98,Stefon Diggs,WR,I'm Batman,160.77,9.46,203.0,12.69,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},84.42,B
8 - 5,75,Jameson Williams,WR,Mr Steinfeld's Stars,218.62,12.86,206.5,12.91,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},84.0,B
13 - 4,124,Jake Ferguson,TE,3rd World Immigrant,150.38,8.85,186.6,11.66,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},83.78,B
8 - 10,80,Dak Prescott,QB,All my homies hate Dallas,285.8,16.81,313.08,19.57,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},83.78,B
6 - 10,60,Travis Kelce,TE,All my homies hate Dallas,181.08,10.65,189.0,11.81,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},83.61,B
11 - 10,110,Dallas Goedert,TE,Scrappy Dub,156.88,9.23,185.1,12.34,15,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},83.41,B
10 - 5,95,RJ Harvey,RB,Mr Steinfeld's Stars,207.26,12.19,202.3,12.64,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},83.07,B
5 - 10,50,Courtland Sutton,WR,Scrappy Dub,227.59,13.39,218.2,13.64,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},82.95,B-
9 - 5,85,Michael Pittman Jr.,WR,Griddy Little Liars,201.11,11.83,199.3,12.46,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},82.9,B-
14 - 10,140,Caleb Williams,QB,All my homies hate Dallas,279.79,16.46,301.6,18.85,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},82.8,B-
14 - 9,139,Cameron Dicker,K,AJ's Awesome Team,139.72,8.22,158.0,9.88,16,{353273A6-6607-4A68-ADDE-CC045C217594},82.79,B-
7 - 8,68,Tetairoa McMillan,WR,"Michael, The Baker",235.26,13.84,200.9,12.56,16,{5E530C03-3F19-48F0-A309-52B769E76347},82.75,B-
6 - 9,59,Zay Flowers,WR,AJ's Awesome Team,232.52,13.68,213.5,13.34,16,{353273A6-6607-4A68-ADDE-CC045C217594},82.66,B-
4 - 6,36,Davante Adams,WR,Griddy Little Liars,257.07,15.12,222.9,15.92,14,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},82.53,B-
9 - 9,89,Tyler Warren,TE,Division iPad,166.07,9.77,180.9,11.31,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},82.51,B-
8 - 8,78,Emeka Egbuka,WR,I'm Batman,176.01,10.35,193.9,12.12,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},82.08,B-
5 - 4,44,D'Andre Swift,RB,3rd World Immigrant,226.78,13.34,222.8,14.85,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.02,B-
12 - 10,120,Keenan Allen,WR,All my homies hate Dallas,212.6,12.51,172.1,10.76,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},81.8,B-
9 - 4,84,Bo Nix,QB,3rd World Immigrant,301.89,17.76,294.3,18.39,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},81.7,B-
7 - 6,66,Jaylen Waddle,WR,Mr Steinfeld's Stars,226.53,13.33,194.12,12.13,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},81.39,B-
2 - 4,14,Derrick Henry,RB,Chicken Fried Chicken Meal,281.74,16.57,266.9,16.68,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},81.3,B-
2 - 7,17,Nico Collins,WR,3rd World Immigrant,289.12,17.01,226.2,15.08,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},81.2,B-
3 - 1,21,Chase Brown,RB,All my homies hate Dallas,281.22,16.54,263.6,16.48,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},81.19,B-
13 - 10,130,Justin Herbert,QB,Scrappy Dub,284.48,16.73,286.88,17.93,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},81.03,B-
13 - 5,125,Quinshon Judkins,RB,Griddy Little Liars,49.6,3.1,169.8,12.13,14,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},81.03,B-
16 - 5,155,Zach Charbonnet,RB,Mr Steinfeld's Stars,137.02,8.06,162.7,10.85,15,{99C913F4-1FF6-4361-93D2-117EA19F759C},80.92,B-
9 - 8,88,Deebo Samuel,WR,"Michael, The Baker",203.14,11.95,184.1,12.27,15,{5E530C03-3F19-48F0-A309-52B769E76347},80.58,B-
9 - 3,83,Patrick Mahomes,QB,I'm Batman,324.92,19.11,285.68,20.41,14,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},80.48,B-
7 - 3,63,DeVonta Smith,WR,I'm Batman,222.99,13.12,193.6,12.1,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},80.48,B-
10 - 2,92,Jared Goff,QB,Division iPad,260.45,15.32,281.82,17.61,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},80.2,B-
6 - 5,55,Breece Hall,RB,Mr Steinfeld's Stars,226.04,13.3,207.66,12.98,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},80.01,B-
7 - 9,69,Jaylen Warren,RB,Division iPad,250.22,14.72,202.2,13.48,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},80.0,B-
14 - 3,133,Rashid Shaheed,WR,"Michael, The Baker",179.17,10.54,155.4,9.14,17,{5E530C03-3F19-48F0-A309-52B769E76347},79.96,C+
3 - 5,25,Kyren Williams,RB,Griddy Little Liars,284.05,16.71,252.2,15.76,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},79.68,C+
2 - 5,15,A.J. Brown,WR,Mr Steinfeld's Stars,275.63,16.21,220.3,14.69,15,{99C913F4-1FF6-4361-93D2-117EA19F759C},79.57,C+
4 - 1,31,Jalen Hurts,QB,Scrappy Dub,365.49,21.5,299.06,18.69,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},79.43,C+
13 - 3,123,Broncos D/ST,D/ST,I'm Batman,145.76,8.57,138.0,8.62,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},79.3,C+
11 - 6,106,Jauan Jennings,WR,Mr Steinfeld's Stars,192.74,11.34,165.8,11.84,14,{99C913F4-1FF6-4361-93D2-117EA19F759C},78.95,C+
10 - 7,97,Jakobi Meyers,WR,3rd World Immigrant,219.64,12.92,166.4,11.09,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},78.54,C+
5 - 9,49,DK Metcalf,WR,Division iPad,240.51,14.15,187.2,12.48,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},78.22,C+
15 - 3,143,Woody Marks,RB,I'm Batman,73.35,4.31,144.3,9.62,15,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},78.13,C+
15 - 2,142,Vikings D/ST,D/ST,AJ's Awesome Team,133.82,7.87,133.0,8.31,16,{353273A6-6607-4A68-ADDE-CC045C217594},77.95,C+
9 - 10,90,Khalil Shakir,WR,Scrappy Dub,196.36,11.55,166.4,10.4,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},77.88,C+
3 - 2,22,Tee Higgins,WR,AJ's Awesome Team,265.41,15.61,192.9,13.78,14,{353273A6-6607-4A68-ADDE-CC045C217594},77.78,C+
16 - 7,157,Patriots D/ST,D/ST,3rd World Immigrant,113.99,6.71,129.0,8.06,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},77.78,C+
5 - 3,43,TreVeyon Henderson,RB,I'm Batman,223.83,13.17,188.9,11.81,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},77.53,C+
6 - 6,56,Baker Mayfield,QB,Griddy Little Liars,310.96,18.29,258.7,16.17,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},77.23,C+
11 - 1,101,Eagles D/ST,D/ST,All my homies hate Dallas,106.54,6.27,133.0,8.31,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},76.86,C
13 - 8,128,Chase McLaughlin,K,"Michael, The Baker",142.64,8.39,131.0,8.19,16,{5E530C03-3F19-48F0-A309-52B769E76347},76.68,C
16 - 10,160,Tyler Allgeier,RB,All my homies hate Dallas,104.78,6.16,120.1,7.51,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},76.65,C
1 - 7,7,CeeDee Lamb,WR,Chicken Fried Chicken Meal,317.53,18.68,199.5,15.35,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.39,C
7 - 7,67,Tony Pollard,RB,Chicken Fried Chicken Meal,222.13,13.07,176.3,11.02,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.27,C
12 - 2,112,Rhamondre Stevenson,RB,Division iPad,173.08,10.18,143.5,11.04,13,{A279F58E-795F-4115-B9F5-8E795F7115FC},76.16,C
2 - 2,12,Ashton Jeanty,RB,Division iPad,302.05,17.77,232.7,14.54,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},76.07,C
14 - 4,134,Jake Bates,K,Chicken Fried Chicken Meal,141.35,8.31,126.0,7.88,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.05,C
13 - 6,126,Chris Boswell,K,Mr Steinfeld's Stars,134.13,7.89,129.0,8.06,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},76.03,C
3 - 7,27,Ladd McConkey,WR,Chicken Fried Chicken Meal,243.24,14.31,180.9,11.31,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.01,C
2 - 10,20,Drake London,WR,All my homies hate Dallas,267.38,15.73,184.1,16.74,11,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},75.96,C
6 - 8,58,DJ Moore,WR,I'm Batman,237.95,14.0,168.08,10.51,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},75.73,C
5 - 2,42,Kenneth Walker III,RB,AJ's Awesome Team,238.79,14.05,174.6,10.91,16,{353273A6-6607-4A68-ADDE-CC045C217594},75.64,C
2 - 1,11,Josh Jacobs,RB,Scrappy Dub,282.87,16.64,237.1,15.81,15,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},75.34,C
12 - 6,116,Cam Skattebo,RB,Griddy Little Liars,139.35,8.2,127.7,15.96,8,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},75.33,C
15 - 1,141,Cairo Santos,K,All my homies hate Dallas,135.92,8.0,120.0,8.57,14,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},75.22,C
13 - 2,122,Josh Downs,WR,AJ's Awesome Team,179.09,10.53,126.8,8.45,15,{353273A6-6607-4A68-ADDE-CC045C217594},75.04,C
14 - 5,135,Jayden Higgins,WR,Mr Steinfeld's Stars,161.48,9.5,119.2,7.45,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},74.87,C
10 - 6,96,Jacory Croskey-Merritt,RB,Griddy Little Liars,163.77,9.63,137.4,8.59,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},74.81,C
3 - 3,23,Brock Bowers,TE,I'm Batman,262.19,15.42,176.2,14.68,12,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},74.78,C
12 - 7,117,Jordan Mason,RB,3rd World Immigrant,133.58,7.86,119.5,7.97,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.37,C
15 - 9,149,Colston Loveland,TE,Division iPad,155.19,9.13,140.0,9.33,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},74.1,C
1 - 1,1,Saquon Barkley,RB,All my homies hate Dallas,325.99,19.18,232.3,14.52,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},74.07,C
1 - 5,5,Justin Jefferson,WR,Griddy Little Liars,315.86,18.58,183.1,11.44,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},73.89,C
7 - 2,62,David Montgomery,RB,AJ's Awesome Team,213.4,12.55,160.42,10.03,16,{353273A6-6607-4A68-ADDE-CC045C217594},73.76,C
