Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Tucker Kraft,TE,BurgerBoyz,90.41,6.03,134.5,10.35,13,84.85,B,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Tyrone Tracy Jr.,RB,THE BIGMADBLUE,72.7,5.19,134.5,10.35,13,83.6,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Cameron Dicker,K,Still Rollin',135.6,7.98,125.0,9.62,13,82.68,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Tua Tagovailoa,QB,Meet the Nabers,228.25,15.22,158.24,17.58,9,81.72,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Chase McLaughlin,K,Bhals,129.69,7.63,112.0,8.62,13,80.66,B-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Cardinals D/ST,D/ST,BurgerBoyz,80.41,4.73,104.0,8.0,13,80.34,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Zach Ertz,TE,NoHalfSends,74.3,4.95,130.1,10.01,13,79.16,C+,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Rico Dowdle,RB,Still Rollin',137.46,9.82,136.1,11.34,12,78.45,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Nick Folk,K,Team Padodara,132.01,7.77,103.0,7.92,13,78.3,C+,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Jason Myers,K,Hark,123.54,7.27,102.0,7.85,13,77.93,C+,{8BF15A87-7793-43C2-B15A-87779313C26A}
Josh Downs,WR,Team BB,89.25,6.87,114.1,11.41,10,76.07,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Chiefs D/ST,D/ST,NoHalfSends,146.14,8.6,105.0,8.08,13,75.37,C,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Russell Wilson,QB,"All Barkley, No Bite",162.02,13.5,112.26,16.04,7,74.3,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Kareem Hunt,RB,NoHalfSends,0.0,0.0,119.6,11.96,10,74.09,C,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Nick Westbrook-Ikhine,WR,BurgerBoyz,18.29,1.31,99.9,7.68,13,73.39,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Tank Bigsby,RB,Meet the Nabers,68.81,4.92,102.7,8.56,12,72.15,C-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Commanders D/ST,D/ST,Team BB,109.13,6.42,94.0,7.23,13,72.05,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Tyler Bass,K,BurgerBoyz,120.92,7.11,99.0,7.62,13,71.07,C-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Alexander Mattison,RB,Team Padodara,88.14,6.3,95.0,9.5,10,68.13,D+,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Buccaneers D/ST,D/ST,Hark,109.38,6.43,79.0,6.08,13,66.78,D,{8BF15A87-7793-43C2-B15A-87779313C26A}
Isaac Guerendo,RB,THE BIGMADBLUE,37.92,2.71,74.3,5.31,14,60.17,D-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Cedric Tillman,WR,Team Padodara,65.02,4.33,65.9,5.99,11,56.95,F-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Adam Thielen,WR,Still Rollin',136.62,9.11,64.7,10.78,6,53.84,F-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Braelon Allen,RB,Still Rollin',69.74,4.98,67.8,5.22,13,53.72,F-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
T.J. Hockenson,TE,Still Rollin',132.18,13.22,58.9,9.82,6,48.33,F-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jeremy McNichols,RB,Hark,31.69,2.44,50.6,3.89,13,44.4,F-,{8BF15A87-7793-43C2-B15A-87779313C26A}
Patrick Taylor Jr.,RB,THE BIGMADBLUE,14.21,1.09,12.7,1.27,10,10.0,F-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
