Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
10 - 9,117,Brandon Aubrey,K,Gabe's Grand Team,142.08,8.36,137.0,10.54,13,84.07,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
2 - 11,23,Drake London,WR,Skibidi Rizzlers,225.56,15.04,197.3,15.18,13,83.99,B,{88877912-82AE-408B-9AD4-17D54F48BACA}
8 - 6,90,Jayden Reed,WR,Breece Hall Sucks,180.45,12.03,168.1,12.93,13,83.84,B,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
7 - 11,83,Najee Harris,RB,Your Mom,174.97,12.5,171.6,13.2,13,83.65,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
10 - 11,119,Justin Herbert,QB,Skibidi Rizzlers,252.01,16.8,196.96,15.15,13,83.25,B,{88877912-82AE-408B-9AD4-17D54F48BACA}
15 - 4,172,Justin Fields,QB,Gabe's Grand Team,89.65,17.93,118.34,13.15,9,83.2,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
2 - 2,14,Garrett Wilson,WR,Your Mom,251.59,16.77,199.2,15.32,13,83.14,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
5 - 6,54,Malik Nabers,WR,Numb Nutz,222.57,14.84,182.1,16.55,11,82.89,B-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
13 - 3,147,Jameson Williams,WR,SIGMAS,161.76,10.78,139.6,12.69,11,82.69,B-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
5 - 2,50,Kyler Murray,QB,Skibidi Rizzlers,264.09,17.61,222.88,17.14,13,82.42,B-,{88877912-82AE-408B-9AD4-17D54F48BACA}
7 - 6,78,Jordan Love,QB,Numb Nutz,206.72,17.23,188.06,17.1,11,82.4,B-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
15 - 3,171,Taysom Hill,TE,SIGMAS,125.77,8.38,102.34,12.79,8,81.99,B-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
7 - 1,73,Zay Flowers,WR,lawrence's Loud Team,216.41,14.43,174.7,13.44,13,81.84,B-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
3 - 9,33,Nico Collins,WR,Rizzly Bears,229.68,15.31,156.2,19.52,8,81.77,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
3 - 3,27,Cooper Kupp,WR,SIGMAS,217.96,14.53,165.7,16.57,10,81.66,B-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
5 - 12,60,D'Andre Swift,RB,Tortured Football Department,180.74,12.91,171.7,13.21,13,81.6,B-,{8F726947-16B6-4023-8839-58DD00CD6659}
5 - 10,58,Brock Purdy,QB,Oh My Josh,259.3,17.29,215.46,16.57,13,81.38,B-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
7 - 2,74,Chris Godwin,WR,Skibidi Rizzlers,214.03,14.27,137.8,19.69,7,81.26,B-,{88877912-82AE-408B-9AD4-17D54F48BACA}
4 - 3,39,Kenneth Walker III,RB,Oh My Josh,212.4,15.17,167.3,16.73,10,81.1,B-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
10 - 8,116,Aaron Rodgers,QB,For Me to Poop on,265.24,17.68,188.24,14.48,13,81.0,B-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
2 - 3,15,Puka Nacua,WR,Oh My Josh,257.99,17.2,170.1,18.9,9,80.76,B-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
8 - 9,93,David Njoku,TE,Gabe's Grand Team,170.71,11.38,133.9,13.39,10,80.4,B-,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 5,29,Rachaad White,RB,For Me to Poop on,225.31,16.09,170.1,14.18,12,80.04,B-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
4 - 2,38,Patrick Mahomes,QB,Your Mom,307.68,20.51,217.56,16.74,13,79.85,C+,{F1F84656-65C6-418D-85EB-A941DF949C09}
4 - 7,43,DJ Moore,WR,Numb Nutz,223.6,14.91,174.8,13.45,13,79.83,C+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
1 - 7,7,Breece Hall,RB,Breece Hall Sucks,289.43,20.67,189.3,15.78,12,79.71,C+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
3 - 1,25,Travis Kelce,TE,lawrence's Loud Team,209.13,13.94,158.3,12.18,13,79.39,C+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
16 - 7,187,Xavier Legette,WR,Numb Nutz,131.86,8.79,108.4,8.34,13,79.13,C+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
11 - 12,132,Kirk Cousins,QB,Tortured Football Department,250.92,16.73,169.84,13.06,13,79.03,C+,{8F726947-16B6-4023-8839-58DD00CD6659}
6 - 12,72,George Pickens,WR,lawrence's Loud Team,208.97,13.93,155.4,12.95,12,78.87,C+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
16 - 2,182,Jake Moody,K,Your Mom,138.58,8.15,95.0,8.64,11,78.81,C+,{F1F84656-65C6-418D-85EB-A941DF949C09}
6 - 3,63,Tee Higgins,WR,Oh My Josh,202.03,14.43,133.1,16.64,8,78.35,C+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
15 - 12,180,Cole Kmet,TE,Tortured Football Department,113.65,7.58,106.8,8.22,13,78.29,C+,{8F726947-16B6-4023-8839-58DD00CD6659}
13 - 8,152,Pat Freiermuth,TE,Golden Receivers,138.09,9.21,119.0,9.15,13,78.19,C+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
5 - 9,57,Rhamondre Stevenson,RB,Rizzly Bears,191.88,13.71,154.0,12.83,12,77.56,C+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
1 - 3,3,Tyreek Hill,WR,SIGMAS,298.89,19.93,177.2,13.63,13,77.43,C+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
6 - 10,70,Brian Robinson Jr.,RB,SIGMAS,178.79,12.77,134.5,13.45,10,77.3,C+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
11 - 3,123,Trevor Lawrence,QB,SIGMAS,249.08,16.61,145.2,14.52,10,77.26,C+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
3 - 4,28,Davante Adams,WR,Gabe's Grand Team,234.0,15.6,148.2,14.82,10,76.8,C,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 2,26,DK Metcalf,WR,Skibidi Rizzlers,224.9,14.99,149.2,13.56,11,76.49,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
11 - 6,126,49ers D/ST,D/ST,Numb Nutz,127.76,7.52,94.0,6.71,14,76.24,C,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
6 - 1,61,Calvin Ridley,WR,Tortured Football Department,219.39,14.63,149.0,11.46,13,76.15,C,{8F726947-16B6-4023-8839-58DD00CD6659}
12 - 6,138,Justin Tucker,K,Breece Hall Sucks,141.89,8.35,104.0,8.0,13,76.05,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
8 - 11,95,Austin Ekeler,RB,Skibidi Rizzlers,173.46,12.39,127.1,11.55,11,75.74,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
3 - 10,34,Mike Evans,WR,Oh My Josh,235.36,15.69,144.0,14.4,10,75.71,C,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
1 - 9,9,A.J. Brown,WR,Rizzly Bears,259.78,17.32,155.6,15.56,10,75.65,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
9 - 2,98,DeAndre Hopkins,WR,Skibidi Rizzlers,177.87,12.7,128.0,9.85,13,75.45,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
11 - 1,121,Younghoe Koo,K,lawrence's Loud Team,137.08,8.06,103.0,7.92,13,75.13,C,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
14 - 2,158,Michael Wilson,WR,Your Mom,141.98,9.47,108.3,8.33,13,74.92,C,{F1F84656-65C6-418D-85EB-A941DF949C09}
9 - 10,106,Xavier Worthy,WR,Oh My Josh,176.21,11.75,124.2,9.55,13,74.75,C,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
16 - 6,186,Braelon Allen,RB,Breece Hall Sucks,75.42,5.39,75.8,5.83,13,74.57,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 5,53,C.J. Stroud,QB,For Me to Poop on,276.58,18.44,180.58,13.89,13,74.51,C,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
2 - 6,18,Marvin Harrison Jr.,WR,Breece Hall Sucks,227.94,15.2,150.5,11.58,13,74.35,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 7,55,Mark Andrews,TE,Breece Hall Sucks,188.32,12.55,134.4,10.34,13,74.25,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
15 - 1,169,Romeo Doubs,WR,lawrence's Loud Team,135.18,9.01,94.3,9.43,10,73.77,C,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
8 - 4,88,Rome Odunze,WR,Rizzly Bears,175.21,11.68,123.0,9.46,13,73.24,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
7 - 4,76,Javonte Williams,RB,Gabe's Grand Team,185.2,13.23,128.5,9.88,13,72.84,C-,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
4 - 5,41,Jaylen Waddle,WR,Golden Receivers,219.17,14.61,140.6,10.82,13,72.69,C-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
1 - 11,11,Jonathan Taylor,RB,Your Mom,256.83,18.34,142.2,14.22,10,72.47,C-,{F1F84656-65C6-418D-85EB-A941DF949C09}
4 - 12,48,Stefon Diggs,WR,lawrence's Loud Team,226.85,15.12,121.92,15.24,8,72.07,C-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
