Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
9 - 2,Aaron Jones,RB,Abyss Diamond Eyes,189.91,13.57,186.5,14.35,13,64.94422775808573
16 - 4,Brandon Aubrey,K,Riley  Read option,142.08,8.36,132.0,10.15,13,64.20734106858156
11 - 6,Najee Harris,RB,The Hungry Dogs,174.97,12.5,171.6,13.2,13,64.1457651820493
2 - 7,Kyren Williams,RB,Abyss Diamond Eyes,232.87,16.63,222.8,17.14,13,63.43088971049193
12 - 8,Courtland Sutton,WR,JanSteez,189.57,12.64,180.8,13.91,13,63.42629674435521
12 - 3,Jayden Reed,WR,The Hungry Dogs,180.45,12.03,168.1,12.93,13,62.12161306953939
7 - 8,D'Andre Swift,RB,First down syndrome ,180.74,12.91,171.7,13.21,13,62.013072613719
9 - 3,Ladd McConkey,WR,Inter Miami CF,178.4,11.89,163.5,13.62,12,61.385577268288664
4 - 4,Jalen Hurts,QB,Riley  Read option,314.32,20.95,282.48,21.73,13,60.35315978452275
11 - 8,Jakobi Meyers,WR,First down syndrome ,175.23,11.68,156.6,14.24,11,59.689003804226516
6 - 1,Taysom Hill,TE,First down syndrome ,125.77,8.38,102.34,12.79,8,59.5440107212817
13 - 1,Jordan Addison,WR,JanSteez,188.63,12.58,164.8,14.98,11,59.29004158014172
1 - 4,Bijan Robinson,RB,Bryson Stott Fan Club,292.77,20.91,246.8,18.98,13,58.44947037009642
4 - 5,Drake London,WR,Bryson Stott Fan Club,225.56,15.04,197.3,15.18,13,58.39362186355562
16 - 1,Jameson Williams,WR,First down syndrome ,161.76,10.78,139.6,12.69,11,58.2438685284342
2 - 3,Justin Jefferson,WR,The Hungry Dogs,282.2,18.81,235.18,18.09,13,57.4362319359442
3 - 1,Garrett Wilson,WR,JanSteez,251.59,16.77,199.2,15.32,13,57.32520201532528
6 - 3,James Cook,RB,The Hungry Dogs,221.92,15.85,192.7,16.06,12,56.884313776485506
5 - 8,Jordan Love,QB,First down syndrome ,206.72,17.23,188.06,17.1,11,56.81341238468665
12 - 6,Kyler Murray,QB,Inter Miami CF,264.09,17.61,222.88,17.14,13,55.52771010319167
1 - 5,Amon-Ra St. Brown,WR,Riley  Read option,283.98,18.93,226.18,17.4,13,55.34474902403251
5 - 5,Malik Nabers,WR,Riley  Read option,222.57,14.84,182.1,16.55,11,54.426329303149544
8 - 2,Zay Flowers,WR,Pleasant Valley Panthers,216.41,14.43,174.7,13.44,13,53.725339203673364
12 - 7,Brock Purdy,QB,Abyss Diamond Eyes,259.3,17.29,211.48,17.62,12,53.46598481973496
13 - 7,David Njoku,TE,Pleasant Valley Panthers,170.71,11.38,133.9,13.39,10,51.882044868833866
5 - 3,Cooper Kupp,WR,Inter Miami CF,217.96,14.53,165.7,18.41,9,51.82525818135567
5 - 4,DJ Moore,WR,Bryson Stott Fan Club,223.6,14.91,174.8,13.45,13,51.66201324070974
9 - 6,Rhamondre Stevenson,RB,The Hungry Dogs,191.88,13.71,154.0,12.83,12,51.44974705813983
5 - 1,Rachaad White,RB,JanSteez,225.31,16.09,170.1,14.18,12,51.17228505101662
7 - 6,Kenneth Walker III,RB,The Hungry Dogs,212.4,15.17,167.3,16.73,10,50.99131411661014
16 - 3,Justin Tucker,K,The Hungry Dogs,141.89,8.35,104.0,8.0,13,49.57796552773881
4 - 8,Travis Kelce,TE,JanSteez,209.13,13.94,158.3,12.18,13,49.543572475263886
1 - 3,CeeDee Lamb,WR,Inter Miami CF,316.73,21.12,215.0,16.54,13,49.14399063070752
9 - 4,George Pickens,WR,Bryson Stott Fan Club,208.97,13.93,155.4,12.95,12,48.42103012972331
10 - 6,Brian Robinson Jr.,RB,Inter Miami CF,178.79,12.77,134.5,13.45,10,48.151485205481066
15 - 4,49ers D/ST,D/ST,Bryson Stott Fan Club,127.76,7.52,91.0,7.0,13,47.948404727397254
4 - 2,Nico Collins,WR,Pleasant Valley Panthers,229.68,15.31,156.2,19.52,8,47.44735775349463
11 - 1,Rome Odunze,WR,JanSteez,175.21,11.68,123.0,9.46,13,46.5980573382169
11 - 3,Austin Ekeler,RB,Inter Miami CF,173.46,12.39,127.1,11.55,11,46.59765298351795
6 - 7,Mark Andrews,TE,Abyss Diamond Eyes,188.32,12.55,134.4,10.34,13,46.281891814754104
5 - 7,Patrick Mahomes,QB,Pleasant Valley Panthers,307.68,20.51,217.56,16.74,13,45.88617901163572
1 - 2,Tyreek Hill,WR,Abyss Diamond Eyes,298.89,19.93,177.2,13.63,13,45.82377818516117
14 - 3,DeAndre Hopkins,WR,The Hungry Dogs,177.87,12.7,128.0,9.85,13,45.75065347245405
13 - 8,Aaron Rodgers,QB,First down syndrome ,265.24,17.68,188.24,14.48,13,45.74072250179147
13 - 3,Xavier Worthy,WR,Inter Miami CF,176.21,11.75,124.2,9.55,13,45.65736547061301
9 - 5,Chris Godwin,WR,Riley  Read option,214.03,14.27,137.8,19.69,7,44.24650340533785
8 - 4,Calvin Ridley,WR,Riley  Read option,219.39,14.63,149.0,11.46,13,43.89838557596461
9 - 7,Javonte Williams,RB,Pleasant Valley Panthers,185.2,13.23,128.5,9.88,13,43.76160443747169
5 - 2,Marvin Harrison Jr.,WR,Abyss Diamond Eyes,227.94,15.2,150.5,11.58,13,43.7342743377666
15 - 6,Chiefs D/ST,D/ST,The Hungry Dogs,102.3,6.02,67.0,5.15,13,43.538582751516934
11 - 7,Kirk Cousins,QB,Pleasant Valley Panthers,250.92,16.73,169.84,13.06,13,43.413502260601724
