Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Total Pick,Draft Grade,Letter Grade
5 - 11,Trey McBride,TE,Team Cogs,182.39,12.16,177.3,14.78,12,59,72.48968189868853,C-
10 - 10,Jerry Jeudy,WR,PAI Alcoholics Anonymous ,176.85,11.79,183.4,14.11,13,118,72.16850859528427,C-
14 - 5,Ka'imi Fairbairn,K,Partners for What's Possible,137.24,8.07,140.0,10.77,13,161,71.19174948752934,C-
1 - 3,CeeDee Lamb,WR,PAI Alcoholics Anonymous ,317.06,21.14,219.3,16.87,13,3,70.68935575704799,C-
6 - 4,Aaron Jones,RB,Prahlad's Ghost,190.03,13.57,186.5,14.35,13,64,70.13148160447726,C-
2 - 11,Drake London,WR,Daddy's Home,225.73,15.05,197.3,15.18,13,23,70.06354733581809,C-
8 - 3,Tony Pollard,RB,The Golden Receivers,172.92,12.35,178.0,13.69,13,87,69.98179636151144,D+
16 - 2,Eagles D/ST,D/ST,Team Cogs,100.35,5.9,108.0,8.31,13,182,69.90249373865055,D+
12 - 2,Josh Downs,WR,Team Cogs,111.29,8.56,137.6,13.76,10,134,69.56210943102282,D+
12 - 7,Darnell Mooney,WR,Eli,174.13,11.61,174.3,13.41,13,139,69.42148938764463,D+
8 - 5,Courtland Sutton,WR,Partners for What's Possible,189.68,12.65,180.8,13.91,13,89,69.19849042102516,D+
15 - 7,Jordan Mason,RB,19th St Halal Cart,82.6,6.35,115.0,9.58,12,175,68.85618348046144,D+
10 - 2,J.K. Dobbins,RB,Team Cogs,155.58,11.97,166.0,15.09,11,110,68.69065633114124,D+
2 - 2,Garrett Wilson,WR,Team Cogs,251.81,16.79,199.2,15.32,13,14,68.12008480601776,D+
3 - 5,James Cook,RB,Philadelphia Bills Mafia,222.09,15.86,192.7,16.06,12,29,68.07855104773725,D+
12 - 10,Jared Goff,QB,PAI Alcoholics Anonymous ,235.81,15.72,225.0,17.31,13,142,67.71885132215658,D+
12 - 6,Brandon Aubrey,K,19th St Halal Cart,139.13,8.18,133.0,10.23,13,138,67.61477392263582,D+
7 - 8,Najee Harris,RB,Partners for What's Possible,175.11,12.51,171.6,13.2,13,80,67.38467973595387,D+
14 - 1,Lions D/ST,D/ST,Pho_King,117.28,6.9,112.0,8.62,13,157,67.1992567156468,D+
11 - 2,Khalil Shakir,WR,Daddy's Home,153.75,10.25,156.9,13.08,12,122,67.04340465682048,D+
6 - 8,D'Andre Swift,RB,Philadelphia Bills Mafia,180.87,12.92,171.7,13.21,13,68,66.51875079812517,D
13 - 11,Hunter Henry,TE,Team Cogs,111.05,7.4,125.0,9.62,13,155,66.41639980266352,D
12 - 3,Zach Charbonnet,RB,The Golden Receivers,140.02,10.0,150.3,11.56,13,135,66.27440370180098,D
9 - 1,Jayden Reed,WR,Pennoni Adjacent,180.52,12.03,168.1,12.93,13,97,66.226053758357,D
4 - 1,Malik Nabers,WR,Pho_King,222.76,14.85,182.1,16.55,11,37,65.68689467416827,D
9 - 8,Ladd McConkey,WR,Partners for What's Possible,178.49,11.9,163.5,13.62,12,104,65.04307257166167,D
14 - 10,Cameron Dicker,K,PAI Alcoholics Anonymous ,135.6,7.98,125.0,9.62,13,166,64.72580585135381,D
14 - 11,Jake Bates,K,Daddy's Home,132.02,7.77,123.0,9.46,13,167,64.5712815667613,D
1 - 2,Breece Hall,RB,Daddy's Home,289.65,20.69,189.3,15.77,12,2,64.38445702479814,D
10 - 1,Jordan Addison,WR,Pho_King,188.75,12.58,164.8,14.98,11,109,64.16567400934633,D
6 - 7,Kyler Murray,QB,Eli,264.89,17.66,222.88,17.14,13,67,64.09596361350741,D
11 - 6,Rico Dowdle,RB,Eli,148.58,10.61,148.6,12.38,12,126,63.948829977821,D
4 - 8,Zay Flowers,WR,Philadelphia Bills Mafia,216.56,14.44,174.7,13.44,13,44,63.78130247868286,D
10 - 9,Jakobi Meyers,WR,Came and Wentz,175.31,11.69,156.6,14.24,11,117,63.30311919304723,D
4 - 4,DJ Moore,WR,Prahlad's Ghost,223.77,14.92,174.8,13.45,13,40,63.05152074386395,D
13 - 5,Alexander Mattison,RB,Philadelphia Bills Mafia,92.89,6.64,107.5,10.75,10,149,62.19420821560647,D-
4 - 3,Travis Kelce,TE,The Golden Receivers,209.23,13.95,158.3,12.18,13,39,62.13563755287208,D-
8 - 8,Brock Purdy,QB,Philadelphia Bills Mafia,260.37,17.36,211.48,17.62,12,92,61.64832963821447,D-
4 - 6,Cooper Kupp,WR,19th St Halal Cart,218.11,14.54,165.7,18.41,9,42,61.49268564183978,D-
4 - 5,Kenneth Walker III,RB,Partners for What's Possible,212.59,15.19,167.3,16.73,10,41,61.30672797571715,D-
16 - 3,Jason Sanders,K,The Golden Receivers,125.6,7.39,112.0,8.62,13,183,60.83670421651493,D-
3 - 2,Rachaad White,RB,Daddy's Home,225.46,16.1,170.1,14.18,12,26,60.64598735440532,D-
12 - 11,Caleb Williams,QB,Daddy's Home,252.94,16.86,204.34,15.72,13,143,60.44826170211526,D-
8 - 4,Jordan Love,QB,Prahlad's Ghost,207.44,17.29,188.06,17.1,11,88,59.72174715686455,F-
5 - 2,Patrick Mahomes,QB,Daddy's Home,308.91,20.59,217.56,16.74,13,50,59.283840753027235,F-
10 - 8,Jameson Williams,WR,Philadelphia Bills Mafia,161.84,10.79,139.6,12.69,11,116,59.24241528877431,F-
6 - 3,Rhamondre Stevenson,RB,The Golden Receivers,192.0,13.71,154.0,12.83,12,63,59.02040855840551,F-
1 - 6,Tyreek Hill,WR,Eli,299.24,19.95,177.2,13.63,13,6,58.843354958247815,F-
14 - 8,Justin Herbert,QB,Philadelphia Bills Mafia,252.77,16.85,196.96,15.15,13,164,58.5508320372759,F-
6 - 9,David Njoku,TE,Came and Wentz,170.78,11.39,133.9,13.39,10,69,58.41227328275127,F-
5 - 5,George Pickens,WR,Philadelphia Bills Mafia,209.16,13.94,155.4,12.95,12,53,58.333572163149704,F-
14 - 6,Matthew Stafford,QB,19th St Halal Cart,241.73,16.12,191.22,14.71,13,162,58.10318560165755,F-
3 - 3,Nico Collins,WR,PAI Alcoholics Anonymous ,229.86,15.32,156.2,19.52,8,27,57.666050111441535,F-
