Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
2 - 5,Jahmyr Gibbs,RB,Toon Squad,213.22,15.23,219.8,16.91,13,71.70438144596334
12 - 4,Khalil Shakir,WR,Taco Tuesday Everyday,123.5,8.23,124.4,10.37,12,70.67511170689612
4 - 12,Joe Mixon,RB,Wu-Tangs Killabeez,197.32,14.09,198.6,19.86,10,70.58483462665305
9 - 12,Tony Pollard,RB,Team Rodriguez,153.77,10.98,158.5,12.19,13,70.48743967400925
10 - 3,Darnell Mooney,WR,Team Rodriguez,146.21,9.75,145.8,11.22,13,70.0061262252652
6 - 4,Aaron Jones,RB,Taco Tuesday Everyday,168.32,12.02,168.0,12.92,13,69.14028241907816
11 - 11,Brandon Aubrey,K,Taco Tuesday Everyday,142.08,8.36,135.0,10.38,13,69.00089039747209
8 - 8,Jayden Reed,WR,Peter Pan + the Lost Boys ,149.29,9.95,146.1,11.24,13,68.74417158530835
6 - 12,Trey McBride,TE,Wu-Tangs Killabeez,140.95,9.4,137.3,11.44,12,68.67915337572622
7 - 12,Courtland Sutton,WR,Team Rodriguez,153.97,10.26,149.3,11.48,13,68.19212192384595
13 - 8,Cameron Dicker,K,It HURTS being an Eagles fan ,138.3,8.14,129.0,9.92,13,68.01497670346049
9 - 10,Rico Dowdle,RB,Toon Squad,134.61,9.61,132.1,11.01,12,67.97995646488062
8 - 4,Najee Harris,RB,Taco Tuesday Everyday,161.02,11.5,157.1,12.08,13,67.77595255167513
14 - 6,Lions D/ST,D/ST,Maid of Honor,106.71,6.28,99.0,7.62,13,67.77427682209373
2 - 10,Kyren Williams,RB,Terrell Suggs to be you,215.59,15.4,208.8,16.06,13,67.63872746141543
5 - 5,Jared Goff,QB,Terrell Suggs to be you,234.9,15.66,222.5,17.12,13,67.32489042791889
9 - 7,Jordan Addison,WR,Peter Pan + the Lost Boys ,153.41,10.23,142.8,12.98,11,66.63723801661264
14 - 12,Jake Bates,K,Wu-Tangs Killabeez,137.91,8.11,125.0,9.62,13,66.47630429004577
5 - 12,D'Andre Swift,RB,Team Rodriguez,163.33,11.67,154.7,11.9,13,66.02977376877861
1 - 8,Jalen Hurts,QB,It HURTS being an Eagles fan ,314.32,20.95,282.48,21.73,13,65.76909895485038
7 - 14,Ladd McConkey,WR,The  Dream crusher,146.12,9.74,134.5,11.21,12,65.59949388329345
11 - 2,Jameson Williams,WR,Crazy Kat,134.77,8.98,120.1,10.92,11,64.73772529935678
14 - 9,Jason Sanders,K,sports,132.08,7.77,115.0,8.85,13,64.44264154542972
9 - 14,Jakobi Meyers,WR,The  Dream crusher,138.81,9.25,123.6,11.24,11,64.195869648296
3 - 10,James Cook,RB,Toon Squad,197.29,14.09,178.7,14.89,12,64.062425020458
7 - 4,Geno Smith,QB,Dirty Tone and  The Boys,227.03,16.22,205.56,15.81,13,64.01198507500652
