Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Team Cogs,75.75,C,Pennoni Younglings,10.0,1598.58,1611.14,5-9-0,2024.0,-33.0,11,362.9,614.8,992.3199999999999,4.0
Eli,75.67,C,Pennoni Younglings,9.0,1620.04,1662.54,5-9-0,2024.0,-16.0,6,218.2,275.09999999999997,728.3,3.0
OAC PADS,75.57,C,Turf On Grade 2.0,8.0,1874.88,1878.34,7-7-0,2023.0,-10.0,6,219.4,466.06,904.66,1.0
Wut happened uh 🤷🏽‍♂️,75.52,C,EBC League,4.0,1760.26,1665.64,9-5-0,2022.0,-16.0,1,146.4,481.9,1110.5,3.0
Off Script ,75.46,C,THE BEST OF THE BEST,2.0,1556.32,1363.82,9-5-0,2023.0,8.0,8,217.3,548.52,791.82,1.0
the   jadey bunch,75.46,C,THE BEST OF THE BEST,2.0,1578.12,1397.82,11-3-0,2022.0,53.0,5,304.66,560.1600000000001,944.46,3.0
Trestleches,75.45,C,Turf On Grade 2.0,3.0,2230.78,1824.36,10-4-0,2023.0,48.0,8,376.4,622.7,1179.3000000000002,3.0
 Johnny  Dramas ,75.4,C,RRR On Premise,,,,,,,3,234.7,596.36,1092.46,0.0
Team HebAchi,75.38,C,Game of Yards!,7.0,1435.8,1539.92,12-16-0,2023.0,-7.0,8,232.66,570.36,787.1600000000001,2.0
19th St Halal Cart,75.19,C,Pennoni Younglings,7.0,1539.04,1410.0,9-5-0,2022.0,16.0,11,284.5,451.6,658.2,2.0
Team TitBit,75.17,C,Game of Yards!,8.0,1634.5,1681.14,6-8-0,2021.0,25.0,3,187.3,396.1,832.0,3.0
Bench Warmer,75.16,C,RRR On Premise,,,,,,,,,,,
BurgerBoyz,75.12,C,Brown Munde,7.0,1570.74,1675.16,6-8-0,2023.0,6.0,7,224.3,444.20000000000005,963.24,1.0
19th St Halal Cart,74.99,C,Pennoni Younglings,7.0,1703.48,1455.36,9-5-0,2024.0,-12.0,7,316.18,588.28,937.88,2.0
Brown Munde,74.89,C,Game of Yards!,6.0,1676.52,1548.38,16-12-0,2024.0,20.0,7,268.98,607.88,947.1800000000001,3.0
Terrell Suggs to be you,74.74,C,THE BEST OF THE BEST,5.0,1591.8,1522.56,7-7-0,2024.0,38.0,5,258.68,513.78,908.74,3.0
the   jadey bunch,74.71,C,THE BEST OF THE BEST,6.0,1521.34,1528.08,6-8-0,2023.0,11.0,2,168.2,409.2,702.76,1.0
It's Britney's Bench,74.7,C,0755 Fantasy Football,8.0,1622.32,1779.1,3-11-0,2024.0,-19.0,5,263.4,320.29999999999995,895.8399999999999,4.0
19th St Halal Cart,74.68,C,Pennoni Younglings,3.0,1661.48,1543.12,10-4-0,2023.0,60.0,4,159.9,322.5,934.14,2.0
THE BIGMADBLUE,74.68,C,Game of Yards!,1.0,1561.24,1464.36,17-11-0,2023.0,14.0,10,202.7,424.5,984.92,3.0
Riley  Read option,74.61,C,EBC League,8.0,1414.26,1830.54,3-11-0,2024.0,-44.0,5,316.18,373.08,854.0,5.0
Amon a Mission,74.56,C,Game of Yards!,8.0,1506.68,1564.74,13-15-0,2023.0,1.0,4,136.4,408.29999999999995,850.26,1.0
Gabe's Grand Team,74.54,C,Family Fantasy,6.0,1561.02,1606.96,7-7-0,2024.0,-2.0,4,263.4,599.8,1081.6,1.0
Steel Curtain Athletics,74.53,C,Turf On Grade 2.0,5.0,1905.52,1945.52,6-8-0,2023.0,9.0,5,391.3,656.7,1197.5,2.0
Team Vellapanti,74.52,C,Game of Yards!,6.0,1467.22,1454.82,8-5-0,2019.0,22.0,9,308.8,518.4,880.4,1.0
JanSteez,74.52,C,EBC League,5.0,1586.02,1575.74,8-6-0,2024.0,-18.0,1,47.8,254.39999999999998,701.6999999999999,3.0
Team Date,74.51,C,Turf On Grade 2.0,1.0,1962.36,1845.5,9-5-0,2023.0,27.0,7,164.4,387.6,917.1,1.0
Pleasant Valley Panthers,74.46,C,EBC League,8.0,1640.36,1810.14,4-10-0,2023.0,-18.0,1,280.22,502.82000000000005,923.72,1.0
Run CMC,74.41,C,Game of Yards!,4.0,1598.48,1513.0,18-10-0,2023.0,41.0,5,359.8,597.9,890.1999999999999,1.0
Wakanda Forever,74.32,C,Game of Yards!,8.0,1434.04,1482.1,5-8-0,2019.0,16.0,4,320.7,582.0,902.9,2.0
The  Never CameBack,74.2,C,Game of Yards!,10.0,1497.74,1570.5,6-8-0,2021.0,-17.0,8,228.56,471.56,753.66,2.0
