Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
2 - 5,19,Jahmyr Gibbs,RB,Toon Squad,213.22,15.23,219.8,16.91,13,90.38,A-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
3 - 1,29,Joe Burrow,QB,the   jadey bunch,278.72,18.58,284.04,21.85,13,90.09,A-,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
3 - 11,39,Josh Jacobs,RB,Taco Tuesday Everyday,195.88,13.99,214.8,16.52,13,89.84,B+,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
2 - 10,24,Kyren Williams,RB,Terrell Suggs to be you,215.59,15.4,221.0,15.79,14,89.73,B+,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
7 - 8,92,Terry McLaurin,WR,It HURTS being an Eagles fan ,156.18,10.41,172.3,13.25,13,89.13,B+,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
12 - 3,157,Ka'imi Fairbairn,K,Team Rodriguez,140.45,8.26,145.0,11.15,13,89.02,B+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
11 - 10,150,Steelers D/ST,D/ST,Toon Squad,125.2,7.36,126.0,9.69,13,88.61,B+,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
1 - 8,8,Jalen Hurts,QB,It HURTS being an Eagles fan ,314.32,20.95,282.48,21.73,13,88.32,B+,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
11 - 14,154,Jerry Jeudy,WR,The  Dream crusher,145.98,9.73,151.9,11.68,13,88.0,B+,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
10 - 3,129,Darnell Mooney,WR,Team Rodriguez,146.21,9.75,145.8,11.22,13,87.78,B+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
8 - 2,100,Jaxon Smith-Njigba,WR,The Upside Down,153.71,10.25,161.7,12.44,13,87.47,B+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
1 - 7,7,Bijan Robinson,RB,Peter Pan + the Lost Boys ,260.66,18.62,220.3,16.95,13,87.39,B+,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
5 - 13,69,James Conner,RB,The Upside Down,161.2,12.4,175.6,13.51,13,87.37,B+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
3 - 6,34,De'Von Achane,RB,sports,187.8,13.41,198.9,15.3,13,87.32,B+,{A8781626-DB52-4D55-B816-26DB528D55B6}
13 - 7,175,Packers D/ST,D/ST,Peter Pan + the Lost Boys ,93.38,5.49,102.0,7.85,13,87.07,B+,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
8 - 9,107,Brian Thomas Jr.,WR,sports,140.93,9.4,155.1,11.93,13,87.06,B+,{A8781626-DB52-4D55-B816-26DB528D55B6}
13 - 8,176,Cameron Dicker,K,It HURTS being an Eagles fan ,138.3,8.14,129.0,9.92,13,86.75,B,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
5 - 5,61,Jared Goff,QB,Terrell Suggs to be you,234.9,15.66,222.5,17.12,13,86.62,B,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
13 - 6,174,Bills D/ST,D/ST,sports,79.74,4.69,94.0,7.23,13,86.35,B,{A8781626-DB52-4D55-B816-26DB528D55B6}
9 - 12,124,Tony Pollard,RB,Team Rodriguez,153.77,10.98,158.5,12.19,13,86.1,B,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
1 - 11,11,Justin Jefferson,WR,Taco Tuesday Everyday,229.12,15.27,197.68,15.21,13,85.77,B,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
9 - 7,119,Jordan Addison,WR,Peter Pan + the Lost Boys ,153.41,10.23,142.8,12.98,11,85.2,B,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
14 - 11,193,Jordan Mason,RB,Dirty Tone and  The Boys,76.89,5.91,109.5,9.12,12,85.13,B,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
11 - 11,151,Brandon Aubrey,K,Taco Tuesday Everyday,142.08,8.36,135.0,10.38,13,85.0,B,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
8 - 4,102,Najee Harris,RB,Taco Tuesday Everyday,161.02,11.5,157.1,12.08,13,84.58,B,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
12 - 4,158,Khalil Shakir,WR,Taco Tuesday Everyday,123.5,8.23,124.4,10.37,12,84.58,B,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
7 - 4,88,Geno Smith,QB,Dirty Tone and  The Boys,227.03,16.22,205.56,15.81,13,84.52,B,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
