Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 10,10,Stefon Diggs,WR,Hark,0.0,0.0,231.3,13.61,17,79.41,C+,{8BF15A87-7793-43C2-B15A-87779313C26A}
12 - 2,112,Cole Kmet,TE,"All Barkley, No Bite",0.0,0.0,183.1,10.77,17,79.31,C+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
7 - 8,68,Isiah Pacheco,RB,Green,0.0,0.0,197.9,14.14,14,79.27,C+,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
6 - 9,59,James Conner,RB,Still Rollin',0.0,0.0,196.0,15.08,13,79.05,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 8,58,Alvin Kamara,RB,Killler jatt ,0.0,0.0,195.5,15.04,13,78.96,C+,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
14 - 4,134,Adam Thielen,WR,BurgerBoyz,0.0,0.0,185.5,10.91,17,78.87,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
4 - 3,33,Amari Cooper,WR,Green,0.0,0.0,206.0,13.73,15,78.5,C+,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
2 - 4,14,Davante Adams,WR,BurgerBoyz,0.0,0.0,219.9,12.94,17,78.16,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
9 - 7,87,Michael Pittman Jr.,WR,BurgerBoyz,0.0,0.0,202.7,12.67,16,78.05,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
1 - 8,8,Saquon Barkley,RB,Green,0.0,0.0,204.7,14.62,14,77.97,C+,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
8 - 7,77,George Pickens,WR,Eks Gonna Give It To Ya!,0.0,0.0,190.3,11.19,17,77.6,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
14 - 9,139,Jake Ferguson,TE,Still Rollin',0.0,0.0,177.1,10.42,17,77.38,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 7,97,Jordan Addison,WR,Eks Gonna Give It To Ya!,0.0,0.0,192.3,11.31,17,77.06,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
11 - 8,108,Kirk Cousins,QB,Green,0.0,0.0,144.24,18.03,8,76.87,C,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
11 - 4,104,49ers D/ST,D/ST,Eks Gonna Give It To Ya!,0.0,0.0,193.0,11.35,17,76.82,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
13 - 7,127,Jason Myers,K,BurgerBoyz,134.32,7.9,147.0,8.65,17,76.57,C,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
4 - 7,37,Calvin Ridley,WR,Eks Gonna Give It To Ya!,0.0,0.0,200.9,11.82,17,76.54,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
5 - 6,46,DeAndre Hopkins,WR,Team Padodara,0.0,0.0,193.1,11.36,17,76.16,C,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
6 - 10,60,Kenneth Walker III,RB,NoHalfSends,0.0,0.0,187.9,12.53,15,76.13,C,{6A39F767-40D1-4825-B0A7-1D20433A3184}
8 - 3,73,Saints D/ST,D/ST,Green,0.0,0.0,185.0,10.88,17,76.09,C,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
7 - 5,65,Brian Robinson Jr.,RB,Team bhalani,0.0,0.0,183.1,12.21,15,75.95,C,{0E22E7FC-569B-49C8-A313-22E034A6865F}
9 - 6,86,D'Andre Swift,RB,Team Padodara,0.0,0.0,183.8,11.49,16,75.72,C,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
2 - 7,17,Tony Pollard,RB,Eks Gonna Give It To Ya!,0.0,0.0,197.1,11.59,17,75.52,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
3 - 4,24,DK Metcalf,WR,Eks Gonna Give It To Ya!,0.0,0.0,199.4,12.46,16,75.28,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
