Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
8 - 8,92,Brock Purdy,QB,Philadelphia Bills Mafia,260.37,17.36,215.46,16.57,13,83.02,B,{65213399-AD95-4113-B087-DAB0440DEF10}
12 - 3,135,Zach Charbonnet,RB,The Golden Receivers,140.02,10.0,150.3,11.56,13,82.83,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
7 - 3,75,Chris Godwin,WR,PAI Alcoholics Anonymous ,214.17,14.28,137.8,19.69,7,82.71,B-,{0CE04EAF-1603-4259-869A-A567F9953F44}
13 - 7,151,Tua Tagovailoa,QB,19th St Halal Cart,241.69,16.11,165.24,18.36,9,82.37,B-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
6 - 8,68,D'Andre Swift,RB,Philadelphia Bills Mafia,180.87,12.92,171.7,13.21,13,82.34,B-,{65213399-AD95-4113-B087-DAB0440DEF10}
12 - 6,138,Brandon Aubrey,K,19th St Halal Cart,139.13,8.18,133.0,10.23,13,82.32,B-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
4 - 1,37,Malik Nabers,WR,Pho_King,222.76,14.85,182.1,16.55,11,82.21,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
8 - 4,88,Jordan Love,QB,Prahlad's Ghost,207.44,17.29,188.06,17.1,11,82.0,B-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
16 - 1,181,Derek Carr,QB,Pho_King,219.63,14.64,150.9,15.09,10,81.85,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
13 - 11,155,Hunter Henry,TE,Team Cogs,111.05,7.4,125.0,9.62,13,81.78,B-,{91828F94-1966-4B65-828F-9419663B65D8}
14 - 1,157,Lions D/ST,D/ST,Pho_King,117.28,6.9,112.0,8.62,13,81.41,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
2 - 3,15,Puka Nacua,WR,The Golden Receivers,258.25,17.22,170.1,18.9,9,81.3,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
14 - 10,166,Cameron Dicker,K,PAI Alcoholics Anonymous ,135.6,7.98,125.0,9.62,13,81.07,B-,{0CE04EAF-1603-4259-869A-A567F9953F44}
