Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
2 - 5,15,Aaron Jones,RB,Pain Inflictors,218.59,15.61,238.4,17.03,14,90.45,A-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
5 - 1,41,Calvin Ridley,WR,Team TitBit,181.06,12.07,236.5,15.77,15,90.3,A-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
6 - 7,57,Stefon Diggs,WR,Team BIGMADBLUE,158.6,11.33,266.6,16.66,16,89.72,B+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
9 - 3,83,David Montgomery,RB,Team Vellapanti,156.65,12.05,239.3,15.95,15,89.18,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 4,44,DK Metcalf,WR,Team BIGMADBLUE,169.1,11.27,231.8,14.49,16,88.51,B+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
4 - 2,32,Adam Thielen,WR,Muqaddar Ka Sikandar,192.06,12.8,217.0,14.47,15,88.14,B+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
6 - 9,59,Jonathan Taylor,RB,Team Amijaz,170.62,12.19,236.8,15.79,15,87.61,B+,{E8084BA7-697B-4617-884B-A7697B7617C9}
3 - 4,24,DeAndre Hopkins,WR,Team BIGMADBLUE,201.37,13.42,230.8,14.43,16,87.51,B+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
5 - 7,47,A.J. Brown,WR,Multiple Scoregasm,181.22,12.08,216.0,15.43,14,87.4,B+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
4 - 10,40,Tyler Lockett,WR,Team TitBit,181.41,12.09,216.4,13.53,16,86.84,B,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
4 - 1,31,Allen Robinson II,WR,Fresh Prince  Of Hel-Aire,181.39,12.09,211.9,13.24,16,86.44,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
14 - 8,138,Ben Roethlisberger,QB,Team Vellapanti,248.16,17.73,273.22,18.21,15,86.04,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
1 - 10,10,Josh Jacobs,RB,Fresh Prince  Of Hel-Aire,223.18,15.94,214.8,14.32,15,85.65,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
2 - 4,14,Nick Chubb,RB,Multiple Scoregasm,229.24,16.37,200.2,16.68,12,85.61,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
9 - 8,88,Matt Ryan,QB,Wakanda Forever,292.78,19.52,287.44,17.96,16,84.82,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
3 - 5,25,Mike Evans,WR,Bhambhwani Pawan Dilip,190.9,13.64,213.6,13.35,16,84.6,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
16 - 9,159,Jared Goff,QB,Team Amijaz,252.55,16.84,246.98,16.47,15,84.21,B,{E8084BA7-697B-4617-884B-A7697B7617C9}
7 - 2,62,Kareem Hunt,RB,Team Amijaz,147.74,10.55,199.5,12.47,16,83.79,B,{E8084BA7-697B-4617-884B-A7697B7617C9}
8 - 6,76,Antonio Gibson,RB,Bhambhwani Pawan Dilip,154.31,11.02,184.2,13.16,14,83.77,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
10 - 3,93,Brandin Cooks,WR,Wakanda Forever,133.1,10.24,193.0,12.87,15,83.76,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
8 - 8,78,Drew Brees,QB,Team Vellapanti,276.58,19.76,213.48,17.79,12,83.74,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 3,43,Robert Woods,WR,Team Vellapanti,181.47,12.1,201.6,12.6,16,83.3,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
1 - 3,3,Ezekiel Elliott,RB,Team Vellapanti,270.17,19.3,197.7,13.18,15,83.05,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 9,99,Will Fuller V,WR,Team Amijaz,183.84,12.26,165.9,15.08,11,82.91,B-,{E8084BA7-697B-4617-884B-A7697B7617C9}
7 - 3,63,Keenan Allen,WR,Team Vellapanti,171.88,11.46,195.1,13.94,14,82.82,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
11 - 8,108,Cam Newton,QB,Wakanda Forever,265.64,18.97,260.98,17.4,15,82.51,B-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
4 - 5,35,David Johnson,RB,Pain Inflictors,216.16,15.44,163.0,13.58,12,82.0,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
9 - 6,86,Matthew Stafford,QB,Pain Inflictors,276.14,18.41,265.56,16.6,16,81.9,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
4 - 9,39,DJ Moore,WR,Team Amijaz,187.13,12.48,181.5,12.1,15,81.23,B-,{E8084BA7-697B-4617-884B-A7697B7617C9}
3 - 7,27,Chris Carson,RB,Multiple Scoregasm,206.63,14.76,169.3,14.11,12,81.12,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
3 - 10,30,Amari Cooper,WR,Fresh Prince  Of Hel-Aire,185.79,12.39,192.3,12.02,16,80.69,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
1 - 1,1,Christian McCaffrey,RB,Team TitBit,290.55,20.75,81.9,27.3,3,80.06,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
16 - 4,154,Marvin Jones Jr.,WR,Multiple Scoregasm,165.37,11.02,190.3,11.89,16,80.03,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
8 - 4,74,Diontae Johnson,WR,Multiple Scoregasm,145.98,9.73,177.8,11.85,15,80.02,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 2,12,Kenyan Drake,RB,Muqaddar Ka Sikandar,219.17,15.65,181.2,12.08,15,79.99,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
