Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
9 - 4,100,Courtland Sutton,WR,Gabe's Grand Team,189.57,12.64,240.3,14.14,17,89.84,B+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 6,30,James Cook,RB,Numb Nutz - CHAMP,221.92,15.85,266.7,16.67,16,89.55,B+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
14 - 5,161,Bills D/ST,D/ST,Golden Receivers,79.74,4.69,121.0,7.12,17,89.39,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
10 - 11,119,Justin Herbert,QB,Skibidi Rizzlers,252.01,16.8,285.4,16.79,17,89.22,B+,{88877912-82AE-408B-9AD4-17D54F48BACA}
2 - 5,17,Kyren Williams,RB,Golden Receivers,232.87,16.63,272.1,17.01,16,89.2,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 4,64,Aaron Jones,RB,Rizzly Bears,189.91,13.57,241.6,14.21,17,88.48,B+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
9 - 12,108,Jakobi Meyers,WR,Tortured Football Department,175.23,11.68,218.0,14.53,15,88.26,B+,{8F726947-16B6-4023-8839-58DD00CD6659}
13 - 7,151,Rico Dowdle,RB,Breece Hall Sucks,148.5,10.61,197.8,12.36,16,88.21,B+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
16 - 5,185,Jason Sanders,K,Golden Receivers,132.08,7.77,162.0,9.53,17,88.14,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
5 - 2,50,Kyler Murray,QB,Skibidi Rizzlers,264.09,17.61,297.24,17.48,17,87.35,B+,{88877912-82AE-408B-9AD4-17D54F48BACA}
5 - 11,59,David Montgomery,RB,Your Mom,177.34,12.67,221.72,15.84,14,87.21,B+,{F1F84656-65C6-418D-85EB-A941DF949C09}
2 - 1,13,Jalen Hurts,QB,Tortured Football Department,314.32,20.95,315.12,21.01,15,87.02,B+,{8F726947-16B6-4023-8839-58DD00CD6659}
4 - 9,45,Joe Mixon,RB,Gabe's Grand Team,218.62,15.62,240.5,17.18,14,86.78,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
13 - 5,149,Ka'imi Fairbairn,K,For Me to Poop on,140.45,8.26,166.0,9.76,17,86.5,B,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
6 - 3,63,Tee Higgins,WR,Oh My Josh,202.03,14.43,222.1,18.51,12,86.48,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
9 - 9,105,Jordan Addison,WR,Rizzly Bears,188.63,12.58,212.5,14.17,15,85.75,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
12 - 1,133,Zach Charbonnet,RB,Tortured Football Department,139.96,10.0,186.9,10.99,17,85.73,B,{8F726947-16B6-4023-8839-58DD00CD6659}
3 - 4,28,Davante Adams,WR,Gabe's Grand Team,234.0,15.6,241.3,17.24,14,85.16,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 10,34,Mike Evans,WR,Oh My Josh,235.36,15.69,240.4,17.17,14,85.16,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
13 - 2,146,Steelers D/ST,D/ST,Skibidi Rizzlers,125.2,7.36,135.0,7.94,17,84.77,B,{88877912-82AE-408B-9AD4-17D54F48BACA}
8 - 3,87,J.K. Dobbins,RB,Oh My Josh,155.48,11.96,191.8,14.75,13,84.52,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
13 - 8,152,Pat Freiermuth,TE,Golden Receivers,138.09,9.21,168.3,9.9,17,84.39,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
4 - 7,43,DJ Moore,WR,Numb Nutz - CHAMP,223.6,14.91,238.1,14.01,17,84.3,B,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
12 - 4,136,Khalil Shakir,WR,Rizzly Bears,153.68,10.25,182.5,12.17,15,84.29,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
5 - 10,58,Brock Purdy,QB,Oh My Josh,259.3,17.29,266.86,17.79,15,84.26,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
10 - 3,111,Caleb Williams,QB,Oh My Josh,252.19,16.81,254.54,14.97,17,84.01,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
