Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 2,2,Lamar Jackson,QB,Caleb's Calculated Team,363.8,21.4,194.44,16.2,12,76.57,C,{73111650-DB56-4FEE-A451-8B9B298D4624}
8 - 1,85,Deebo Samuel,WR,Papa Murphy’s Pizza,203.14,11.95,184.1,12.27,15,76.51,C,{4F687E43-B817-4279-A344-79DC261E83B4}
2 - 2,14,Justin Jefferson,WR,TUFF,315.86,18.58,183.1,11.44,16,76.11,C,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
13 - 4,148,Hunter Henry,TE,BetterThanDeanAtSF6,148.14,8.71,168.2,10.51,16,75.7,C,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
5 - 1,49,Ladd McConkey,WR,Club Penguins,243.24,14.31,180.9,11.31,16,75.65,C,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
8 - 10,94,Tyler Warren,TE,Chase Ball. Touchdown!,166.07,9.77,180.9,11.31,16,75.5,C,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
14 - 7,163,Chase McLaughlin,K,Ross' Sauces,147.01,8.65,141.0,8.81,16,75.27,C,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
13 - 8,152,Zach Charbonnet,RB,Chill YNs,137.02,8.06,162.7,10.85,15,75.17,C,{61563278-5915-4089-8B19-0BFACDFA9B38}
3 - 3,27,C.J. Stroud,QB,Chase Ball. Touchdown!,280.36,16.49,191.28,14.71,13,74.71,C,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
15 - 11,179,Cam Little,K,TUFF,135.84,7.99,146.0,9.12,16,74.69,C,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
9 - 8,104,Keenan Allen,WR,Chill YNs,212.6,12.51,172.1,10.76,16,74.69,C,{61563278-5915-4089-8B19-0BFACDFA9B38}
8 - 9,93,Tony Pollard,RB,BetterThanDeanAtSF6,222.13,13.07,176.3,11.02,16,74.66,C,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
7 - 6,78,David Montgomery,RB,Ross' Sauces,213.4,12.55,160.42,10.03,16,74.62,C,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
11 - 9,129,Jauan Jennings,WR,Yvng Killas,192.74,11.34,165.8,11.84,14,74.33,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
6 - 8,68,DJ Moore,WR,Balls@ck Gafoor,237.95,14.0,168.08,10.51,16,74.3,C,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
9 - 11,107,Khalil Shakir,WR,TUFF,196.36,11.55,166.4,10.4,16,73.57,C,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
6 - 12,72,Justin Fields,QB,Club Penguins,299.32,17.61,142.66,15.85,9,73.33,C,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
5 - 11,59,Omarion Hampton,RB,TUFF,259.42,15.26,135.7,15.08,9,73.24,C,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
4 - 12,48,Bucky Irving,RB,Club Penguins,283.47,16.67,127.7,14.19,9,73.12,C,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
8 - 11,95,Jakobi Meyers,WR,Caleb's Calculated Team,219.64,12.92,166.4,11.09,15,73.12,C,{73111650-DB56-4FEE-A451-8B9B298D4624}
14 - 9,165,Jake Bates,K,BetterThanDeanAtSF6,146.36,8.61,132.0,8.25,16,73.09,C,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
15 - 1,169,Chris Boswell,K,Club Penguins,138.42,8.14,137.0,8.56,16,73.05,C,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
10 - 2,110,Tucker Kraft,TE,TUFF,159.96,9.41,117.2,14.65,8,72.95,C-,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
16 - 7,187,Cam Ward,QB,Ross' Sauces,257.24,15.13,177.48,11.09,16,72.89,C-,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
11 - 12,132,Romeo Doubs,WR,Papa Murphy’s Pizza,126.52,7.44,165.4,10.34,16,72.73,C-,{4F687E43-B817-4279-A344-79DC261E83B4}
6 - 11,71,Geno Smith,QB,Caleb's Calculated Team,261.2,15.36,173.9,11.59,15,72.33,C-,{73111650-DB56-4FEE-A451-8B9B298D4624}
8 - 3,87,Rome Odunze,WR,Dookey Dukes,217.05,12.77,146.1,12.18,12,71.92,C-,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
14 - 2,158,Zach Ertz,TE,TUFF,141.79,8.34,126.4,9.72,13,71.69,C-,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
12 - 10,142,Dalton Kincaid,TE,Chase Ball. Touchdown!,146.83,8.64,118.3,10.75,11,71.62,C-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
11 - 2,122,Rhamondre Stevenson,RB,Caleb's Calculated Team,173.08,10.18,143.5,11.04,13,71.39,C-,{73111650-DB56-4FEE-A451-8B9B298D4624}
12 - 9,141,Broncos D/ST,D/ST,BetterThanDeanAtSF6,130.13,7.65,124.0,7.75,16,70.96,C-,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
16 - 10,190,Tyler Loop,K,Chase Ball. Touchdown!,140.26,8.25,134.0,8.38,16,70.95,C-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
9 - 9,105,Tua Tagovailoa,QB,Yvng Killas,275.91,16.23,160.7,11.48,14,70.76,C-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
16 - 11,191,Cairo Santos,K,Caleb's Calculated Team,140.6,8.27,127.0,9.07,14,70.65,C-,{73111650-DB56-4FEE-A451-8B9B298D4624}
