Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Devin Neal,RB,The Golden Receivers,52.11,3.07,60.0,6.0,10,60.23,D-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Woody Marks,RB,Christian McCalf-Injury,73.36,4.32,144.3,9.62,15,59.93,F-,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Chimere Dike,WR,Christian McCalf-Injury,37.73,2.22,120.4,7.53,16,59.91,F-,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Jacoby Brissett,QB,Eli,2.25,0.13,213.82,16.45,13,58.92,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Tyler Allgeier,RB,cman,104.84,6.17,120.1,7.51,16,55.78,F-,{3038B793-C0D8-4773-82BA-30F522EA1C1A}
Colby Parkinson,TE,Christian McCalf-Injury,14.74,0.87,110.2,7.87,14,55.13,F-,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Christian Watson,WR,Prahlad's Ghost,50.01,5.0,132.4,13.24,10,53.65,F-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Isaiah Likely,TE,Daddy's Finally Home,99.37,6.62,56.5,4.35,13,50.01,F-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Taysom Hill,TE,Eli,0.0,0.0,35.58,2.96,12,44.12,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Audric Estime,RB,Christian McCalf-Injury,0.0,0.0,32.5,5.42,6,26.41,F-,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
Philip Rivers,QB,The Golden Receivers,0.0,0.0,31.66,10.55,3,10.0,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
