Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
3 - 14,50,Sam LaPorta,TE,Gridiron Grace,191.77,11.28,106.9,11.88,9,67.81,D+,{2C5A506D-2152-485A-A901-E0C1F08F8915}
12 - 1,199,Harrison Butker,K,Becca’s Ballers,138.62,8.15,129.0,8.06,16,67.56,D+,{2CC13964-3B93-4869-A746-1634AE79F650}
3 - 7,43,Garrett Wilson,WR,Lamb of Goedert,241.4,14.2,99.5,12.44,8,67.4,D+,{4DBC9875-C246-495B-9731-408DC5E2DFCE}
2 - 16,34,Jayden Daniels,QB,Sacks and the City,371.59,21.86,114.28,16.33,7,67.39,D+,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
3 - 16,52,Chuba Hubbard,RB,Men in Tight(End)s,258.55,15.21,121.7,8.69,14,67.36,D+,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB}
6 - 7,97,Mark Andrews,TE,Serving Punt,173.38,10.2,127.6,7.98,16,67.27,D+,{FE598F7B-DEEB-43CB-B866-038706DB52C8}
2 - 14,32,Joe Burrow,QB,Faith's Fantastic Team,330.46,19.44,113.32,16.19,7,67.23,D+,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
11 - 12,192,Luther Burden III,WR,Serving Punt,91.46,5.38,120.4,8.6,14,67.19,D+,{FE598F7B-DEEB-43CB-B866-038706DB52C8}
14 - 18,252,Chargers D/ST,D/ST,Flock Around and Find Out,72.66,4.27,110.0,6.88,16,66.81,D,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE}
8 - 5,131,Steelers D/ST,D/ST,Gridiron Grace,132.67,7.8,109.0,6.81,16,66.81,D,{2C5A506D-2152-485A-A901-E0C1F08F8915}
13 - 8,224,Pat Freiermuth,TE,Nikki  ,133.94,7.88,105.5,6.59,16,66.65,D,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C}
15 - 14,266,Nick Folk,K,Gridiron Grace,137.3,8.08,126.0,7.88,16,66.55,D,{2C5A506D-2152-485A-A901-E0C1F08F8915}
11 - 3,183,Bills D/ST,D/ST,Sacks and the City,100.27,5.9,110.0,6.88,16,66.5,D,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
