Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
5 - 3,59,C.J. Stroud,QB,Dirty Tone and  The Boys,280.36,16.49,191.28,14.71,13,79.49,C+,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
13 - 4,172,Quinshon Judkins,RB,Team Rodriguez,43.44,2.71,156.8,11.2,14,79.48,C+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
7 - 12,96,Emeka Egbuka,WR,Toon Squad,147.25,8.66,162.9,10.18,16,79.33,C+,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
11 - 11,151,Dallas Goedert,TE,the   jadey bunch,124.44,7.32,155.1,10.34,15,79.24,C+,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
9 - 13,125,Texans D/ST,D/ST,Crazy Kat,146.03,8.59,169.0,10.56,16,79.23,C+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
7 - 7,91,Michael Pittman Jr.,WR,Peter Pan + the Lost Boys ,157.86,9.29,160.3,10.02,16,79.03,C+,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
4 - 1,43,Jaylen Waddle,WR,Michael's Monstrous Team,182.74,10.75,162.12,10.13,16,78.92,C+,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
9 - 1,113,Stefon Diggs,WR,Crunchwrap Crew,127.81,7.52,162.0,10.12,16,78.57,C+,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
4 - 9,51,DK Metcalf,WR,Is it Hockey Season?,199.76,11.75,157.7,10.51,15,78.23,C+,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
4 - 7,49,TreVeyon Henderson,RB,Febreze Brothers,202.25,11.9,171.4,10.71,16,78.05,C+,{A8781626-DB52-4D55-B816-26DB528D55B6}
6 - 2,72,Travis Kelce,TE,Crazy Kat,142.76,8.4,152.5,9.53,16,78.01,C+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
5 - 10,66,Rashee Rice,WR,Wu-Tangs Killabeez,131.65,11.97,123.6,15.45,8,77.96,C+,{8BED9748-9839-4F55-AD97-4898394F5553}
