Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
15 - 1,141,Eagles D/ST,D/ST,Chicken’s Cougars ,97.75,5.75,120.0,7.5,16,73.12,C,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
16 - 9,159,J.J. McCarthy,QB,Hunks of Hanet ,282.57,16.62,117.4,13.04,9,73.02,C,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
11 - 1,101,Cam Skattebo,RB,Chicken’s Cougars ,125.35,7.37,115.7,14.46,8,73.02,C,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
9 - 8,88,Jacory Croskey-Merritt,RB,Case Closed ,151.27,8.9,132.9,8.31,16,72.75,C-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
4 - 8,38,Omarion Hampton,RB,Sacks in the City,239.01,14.06,119.7,13.3,9,72.64,C-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
2 - 2,12,Bucky Irving,RB,Natural rack,256.74,15.1,113.2,12.58,9,72.59,C-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
6 - 2,52,Marvin Harrison Jr.,WR,Natural rack,198.75,11.69,107.3,8.94,12,71.78,C-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
10 - 9,99,J.K. Dobbins,RB,Hunks of Hanet ,152.37,8.96,110.4,11.04,10,71.4,C-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
8 - 2,72,Kyler Murray,QB,Natural rack,306.94,18.06,77.78,15.56,5,70.83,C-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
11 - 5,105,Tucker Kraft,TE,Hall Pass,128.4,7.55,101.2,12.65,8,70.55,C-,{9417088B-0880-4F8A-A127-759BF41D4603}
11 - 9,109,Keenan Allen,WR,Natural rack,172.08,10.12,135.1,8.44,16,70.45,C-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
14 - 9,139,Vikings D/ST,D/ST,Hunks of Hanet ,120.67,7.1,120.0,7.5,16,70.23,C-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
6 - 7,57,Sam LaPorta,TE,Big Ballsy Bozos,154.47,9.09,86.9,9.66,9,69.79,D+,{9B611343-247D-458B-88C3-50BB33789365}
11 - 8,108,Khalil Shakir,WR,Case Closed ,156.8,9.22,130.4,8.15,16,69.53,D+,{1EC10606-80E9-4A6D-A618-E448864CAA58}
2 - 7,17,Brian Thomas Jr.,WR,Big Ballsy Bozos,222.38,13.08,108.4,8.34,13,69.34,D+,{9B611343-247D-458B-88C3-50BB33789365}
11 - 10,110,Rhamondre Stevenson,RB,Mhoney Hurts So Good,158.39,9.32,128.5,9.88,13,69.09,D+,{5918A112-DDF9-4368-8414-A143EC58B846}
8 - 7,77,Tyrone Tracy Jr.,RB,Big Ballsy Bozos,187.15,11.01,118.9,8.49,14,68.93,D+,{9B611343-247D-458B-88C3-50BB33789365}
12 - 6,116,Rashid Shaheed,WR,Hall Pass,149.63,8.8,126.4,7.44,17,68.88,D+,{9417088B-0880-4F8A-A127-759BF41D4603}
12 - 4,114,Colston Loveland,TE,Jockstrap jubilee ,124.94,7.35,116.0,7.73,15,68.18,D+,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
5 - 5,45,Chuba Hubbard,RB,Hall Pass,234.16,13.77,107.7,7.69,14,67.99,D+,{9417088B-0880-4F8A-A127-759BF41D4603}
14 - 4,134,Steelers D/ST,D/ST,Jockstrap jubilee ,132.67,7.8,109.0,6.81,16,67.74,D+,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
12 - 9,119,Jordan Addison,WR,Hunks of Hanet ,137.95,9.85,112.8,8.68,13,67.72,D+,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
5 - 10,50,Garrett Wilson,WR,Mhoney Hurts So Good,196.7,11.57,81.5,10.19,8,67.7,D+,{5918A112-DDF9-4368-8414-A143EC58B846}
12 - 7,117,Dalton Kincaid,TE,Big Ballsy Bozos,118.83,6.99,100.3,9.12,11,66.88,D,{9B611343-247D-458B-88C3-50BB33789365}
16 - 7,157,Jake Elliott,K,Big Ballsy Bozos,141.38,8.32,104.0,6.5,16,66.79,D,{9B611343-247D-458B-88C3-50BB33789365}
8 - 9,79,Mark Andrews,TE,Hunks of Hanet ,142.72,8.4,104.6,6.54,16,66.77,D,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
7 - 4,64,Aaron Jones Sr.,RB,Big Ballsy Bozos,190.81,11.22,104.7,8.73,12,66.42,D,{9B611343-247D-458B-88C3-50BB33789365}
