Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,File Name,Is Bye,LPI Winner,Total Points Winner,Seed Winner,More Wins Winner
Quarter Final,Lucky #13s,4,71.16,-6,1400.58,10-4-0,Wu-Tangs Killabeez,5,103.78,20.0,1499.14,9-5-0,Wu-Tangs Killabeez,THE BEST OF THE BEST 2022.xlsx,False,True,True,True,False
Semi Final,the   jadey bunch,1,105.36,57,1578.12,11-3-0,Wu-Tangs Killabeez,5,90.84,20.0,1499.14,9-5-0,the   jadey bunch,THE BEST OF THE BEST 2022.xlsx,False,True,True,False,True
Semi Final,The  Dream crusher,7,119.46,39,1550.78,7-7-0,Crazy Kat,3,107.48,51.0,1574.02,11-3-0,The  Dream crusher,THE BEST OF THE BEST 2022.xlsx,False,False,False,True,False
Championship,the   jadey bunch,1,67.6,53,1578.12,11-3-0,The  Dream crusher,7,86.42,38.0,1550.78,7-7-0,The  Dream crusher,THE BEST OF THE BEST 2022.xlsx,False,False,False,True,False
Quarter Final,Peter Pan + the Lost Boys ,1,91.7,27,1647.74,10-4-0,the   jadey bunch,8,90.22,9.0,1521.34,6-8-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Quarter Final,The  Dream crusher,2,96.08,10,1595.4,10-4-0,Team Sunshine,7,122.02,21.0,1421.42,7-7-0,Team Sunshine,THE BEST OF THE BEST 2023.xlsx,False,True,False,True,False
Quarter Final,Off Script ,3,88.22,2,1556.32,9-5-0,Crazy Kat,6,77.04,-3.0,1430.84,7-7-0,Off Script ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Quarter Final,Toon Squad,4,143.94,14,1550.0,8-6-0,Maid of Honor,5,138.74,27.0,1504.96,7-7-0,Toon Squad,THE BEST OF THE BEST 2023.xlsx,False,False,True,False,True
Semi Final,Peter Pan + the Lost Boys ,1,131.92,30,1647.74,10-4-0,Toon Squad,4,96.16,15.0,1550.0,8-6-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
Semi Final,Team Sunshine,7,89.3,16,1421.42,7-7-0,Off Script ,3,110.18,-1.0,1556.32,9-5-0,Off Script ,THE BEST OF THE BEST 2023.xlsx,False,False,True,False,True
Championship,Peter Pan + the Lost Boys ,1,158.28,40,1647.74,10-4-0,Off Script ,3,124.3,8.0,1556.32,9-5-0,Peter Pan + the Lost Boys ,THE BEST OF THE BEST 2023.xlsx,False,True,True,False,True
