Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Championship,NoHalfSends,4,97.88,29,1653.76,8-6-0,Still Rollin',2,123.88,38,1706.28,10-4-0,Still Rollin',2023,Brown Munde,Brown Munde 2023.xlsx
Quarter Final,Still Rollin',1,151.2,19,1753.78,21-7-0,Bye,-,-,-,-,-,Still Rollin',2024,Brown Munde,Brown Munde 2024.xlsx
Quarter Final,Meet the Nabers,2,103.14,6,1675.78,17-11-0,Team BB,5,140.04,47,1782.94,16-12-0,Team BB,2024,Brown Munde,Brown Munde 2024.xlsx
Quarter Final,NoHalfSends,3,152.4,23,1622.7,19-9-0,Bye,-,-,-,-,-,NoHalfSends,2024,Brown Munde,Brown Munde 2024.xlsx
Quarter Final,Bhals,4,147.74,41,1744.32,17-11-0,THE BIGMADBLUE,6,165.18,17,1610.18,14-14-0,THE BIGMADBLUE,2024,Brown Munde,Brown Munde 2024.xlsx
Semi Final,Still Rollin',1,93.82,22,1753.78,21-7-0,Team BB,5,168.84,52,1782.94,16-12-0,Team BB,2024,Brown Munde,Brown Munde 2024.xlsx
Semi Final,NoHalfSends,3,129.04,22,1622.7,19-9-0,THE BIGMADBLUE,6,83.16,13,1610.18,14-14-0,NoHalfSends,2024,Brown Munde,Brown Munde 2024.xlsx
Championship,Team BB,5,147.86,55,1782.94,16-12-0,NoHalfSends,3,105.1,23,1622.7,19-9-0,Team BB,2024,Brown Munde,Brown Munde 2024.xlsx
Quarter Final,The Man In Jahmyrror,1,120.28,52,1837.96,21-7-0,Bye,-,-,-,-,-,The Man In Jahmyrror,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,NoHalfSends,2,164.62,22,1632.4,16-12-0,Team BB,7,129.14,36,1698.62,16-12-0,NoHalfSends,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,Still Rollin',3,110.9,-7,1605.28,17-11-0,"All Barkley, No Bite",5,159.78,5,1584.74,16-12-0,"All Barkley, No Bite",2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,BurgerBoyz,4,93.3,4,1739.02,18-10-0,Bye,-,-,-,-,-,BurgerBoyz,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,Team Padodara,6,84.26,-20,1444.36,12-16-0,THE BIGMADBLUE,8,100.82,-22,1517.08,11-17-0,THE BIGMADBLUE,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,The Man In Jahmyrror,1,117.5,58,1837.96,21-7-0,NoHalfSends,2,130.48,30,1632.4,16-12-0,NoHalfSends,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,"All Barkley, No Bite",5,118.58,10,1584.74,16-12-0,BurgerBoyz,4,116.5,6,1739.02,18-10-0,"All Barkley, No Bite",2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,THE BIGMADBLUE,8,85.0,-30,1517.08,11-17-0,Bhals,9,112.74,-29,1433.86,8-20-0,Bhals,2025,Brown Munde,Brown Munde 2025.xlsx
Semi Final,NoHalfSends,2,109.96,34,1632.4,16-12-0,"All Barkley, No Bite",5,122.68,16,1584.74,16-12-0,"All Barkley, No Bite",2025,Brown Munde,Brown Munde 2025.xlsx
Semi Final,Bhals,9,97.0,-29,1433.86,8-20-0,Team Padodara,6,121.88,-24,1444.36,12-16-0,Team Padodara,2025,Brown Munde,Brown Munde 2025.xlsx
Quarter Final,Hungry Dogs,1,125.34,8,1843.64,11-3-0,Bye,-,-,-,-,-,Hungry Dogs,2021,EBC League,EBC League 2021.xlsx
Quarter Final,Pure Mature,2,143.6,10,1807.36,8-6-0,Bye,-,-,-,-,-,Pure Mature,2021,EBC League,EBC League 2021.xlsx
Quarter Final,Seigaku FC,3,106.76,27,1836.6,8-6-0,Pleasant Valley Panthers,6,129.3,6,1710.14,6-8-0,Pleasant Valley Panthers,2021,EBC League,EBC League 2021.xlsx
Quarter Final,Abyss Diamond Eyes,4,92.62,-2,1768.88,7-7-0,Pitman OBJYN,5,105.28,8,1713.52,6-8-0,Pitman OBJYN,2021,EBC League,EBC League 2021.xlsx
Semi Final,Hungry Dogs,1,140.84,14,1843.64,11-3-0,Pitman OBJYN,5,132.26,10,1713.52,6-8-0,Hungry Dogs,2021,EBC League,EBC League 2021.xlsx
Semi Final,Pure Mature,2,129.46,9,1807.36,8-6-0,Pleasant Valley Panthers,6,127.82,2,1710.14,6-8-0,Pure Mature,2021,EBC League,EBC League 2021.xlsx
Championship,Hungry Dogs,1,89.18,9,1843.64,11-3-0,Pure Mature,2,127.9,8,1807.36,8-6-0,Pure Mature,2021,EBC League,EBC League 2021.xlsx
Quarter Final,Seigaku FC,1,130.54,48,1924.04,12-2-0,Bye,-,-,-,-,-,Seigaku FC,2022,EBC League,EBC League 2022.xlsx
Quarter Final,Wut happened uh 🤷🏽‍♂️,2,110.52,-12,1760.26,9-5-0,Bye,-,-,-,-,-,Wut happened uh 🤷🏽‍♂️,2022,EBC League,EBC League 2022.xlsx
Quarter Final,The Hungry Dogs,3,134.9,15,1822.06,9-5-0,Riley  Read option,6,114.72,-24,1628.82,6-8-0,The Hungry Dogs,2022,EBC League,EBC League 2022.xlsx
Quarter Final,Champagne  Papi ,4,160.7,33,1919.74,8-6-0,Pitman MaleManipulator,5,152.86,20,1790.5,6-8-0,Champagne  Papi ,2022,EBC League,EBC League 2022.xlsx
Semi Final,Seigaku FC,1,114.86,51,1924.04,12-2-0,Champagne  Papi ,4,157.44,39,1919.74,8-6-0,Champagne  Papi ,2022,EBC League,EBC League 2022.xlsx
Semi Final,Wut happened uh 🤷🏽‍♂️,2,79.26,-22,1760.26,9-5-0,The Hungry Dogs,3,101.36,8,1822.06,9-5-0,The Hungry Dogs,2022,EBC League,EBC League 2022.xlsx
Championship,Champagne  Papi ,4,103.58,40,1919.74,8-6-0,The Hungry Dogs,3,115.7,12,1822.06,9-5-0,The Hungry Dogs,2022,EBC League,EBC League 2022.xlsx
Quarter Final,Riley  Read option,1,111.16,-14,1723.68,11-3-0,Bye,-,-,-,-,-,Riley  Read option,2023,EBC League,EBC League 2023.xlsx
Quarter Final,THE POOL,2,70.04,-9,1793.18,8-6-0,Bye,-,-,-,-,-,THE POOL,2023,EBC League,EBC League 2023.xlsx
Quarter Final,Inter Miami CF,3,114.02,28,1833.12,8-6-0,Wut happened uh 🤷🏽‍♂️,6,80.66,-6,1746.34,6-8-0,Inter Miami CF,2023,EBC League,EBC League 2023.xlsx
Quarter Final,Abyss Diamond Eyes,4,113.74,22,1794.56,7-7-0,Bryson Stott Fan Club,5,134.16,6,1771.38,7-7-0,Bryson Stott Fan Club,2023,EBC League,EBC League 2023.xlsx
